
campaign_id,impressions,clicks,conversions,cost_uzs,revenue_uzs,CTR,CPC,ROAS,conversion_rate,num_customers,avg_lifetime_value,CAC,channel,campaign_type
17,2785350.0,73347,8428,38792915.11,2405020900.23,2.633313587161398,528.8957300230411,61.9963953059572,0.11490585845365182,110,2899696.3207272724,352662.86463636364,Email,Awareness
18,7135356.0,197972,20370,146407372.05,5785121028.13,2.7745216916997553,739.5357527832219,39.51386427559335,0.1028933384519023,128,3182833.146640625,1143807.594140625,Google Ads,Traffic
19,6533527.0,186434,19929,137976003.5,6085198408.34,2.853497046847744,740.0796179881352,44.10330966239358,0.10689573790188485,119,3357213.970168067,1159462.2142857143,Twitter,Engagement
20,3200850.0,90246,9023,59213063.27,2693809479.5299997,2.8194385866254277,656.1295045763801,45.49349975776045,0.09998227068235711,107,3357471.2282242994,553393.1146728973,Google Ads,Awareness
21,6301441.0,184040,17927,132561149.67,5153398374.93,2.920601811553897,720.2844472397305,38.8756312672224,0.09740817213649207,116,3024999.5380172417,1142768.531637931,Twitter,Awareness
22,9065681.0,251255,26185,202400391.47,7613060164.05,2.7714961512543845,805.5576663946986,37.613860866363076,0.10421683150584068,120,3084665.46575,1686669.9289166667,Email,Engagement
23,7931142.0,220555,22110,161128538.66,5861117943.26,2.7808731705976264,730.5594462152297,36.37541798618085,0.10024710389698714,106,2821227.1219811323,1520080.5533962264,LinkedIn,Traffic
24,1983047.0,47901,5596,43302005.37,2068160057.22,2.41552519935231,903.9895904052107,47.76129972615169,0.11682428341788272,126,3450058.421825397,343666.70928571426,Telegram,Traffic
25,8378964.0,228828,25466,181749485.58,7799614287.56,2.73098201639248,794.2624398237979,42.91409278364572,0.1112888282902442,118,3271143.1301694917,1540249.8777966104,Telegram,Conversion
26,9109724.0,272665,27669,174017224.25,7711830108.3,2.993120318464094,638.2088799442539,44.3164758059862,0.10147617039223956,112,2739886.3264285713,1553725.216517857,Twitter,Traffic
27,6846177.0,200709,20103,147897843.49,6060077291.4,2.9316945793250744,736.8769885256766,40.97475087126437,0.10015993303738248,95,2946068.588315789,1556819.4051578948,YouTube,Awareness
28,6641435.0,189054,19375,130340442.39999999,5309400817.57,2.846583607307758,689.4349889449575,40.73486877753608,0.10248394638568875,115,2944075.63,1133395.1513043477,Unknown,Engagement
29,4858445.0,137493,13839,107717671.62,4303529419.98,2.8299795510703527,783.441132421287,39.951935047034205,0.10065239684929414,155,3009891.0760645163,694952.7201290323,YouTube,Engagement
30,5951595.0,167494,18686,115810481.01,5772822204.68,2.8142707963159452,691.4306244402785,49.84714815390093,0.11156220521332108,126,2840153.3600793653,919130.8016666668,Twitter,Traffic
31,7873643.0,215720,23046,169210503.02,6881302558.85,2.7397736981470966,784.3987716484332,40.66711247845329,0.10683293157797144,93,2776826.2707526884,1819467.7744086022,Instagram,Conversion
32,6723096.0,200379,20382,129505968.75,5797840156.43,2.980457217924599,646.3050955938496,44.768903027336336,0.10171724581917267,153,2739957.4663398694,846444.2401960784,Instagram,Traffic
33,4978342.0,129704,14063,107301527.11,3688423883.23,2.6053654007699754,827.2800153426263,34.374383874786965,0.10842379571948436,121,3172554.3416528925,886789.4802479339,Google Ads,Traffic
34,7242383.0,202855,19320,149296150.24,5887495399.49,2.8009427283809765,735.9747121835794,39.4350114857322,0.09524044268073255,124,3209155.5517741935,1204001.2116129033,LinkedIn,Engagement
35,4874477.0,140578,13553,90998413.89,4067891292.98,2.8839606792687706,647.3161795586792,44.70288128205528,0.09640911095619514,131,3008542.363129771,694644.3808396946,Instagram,Awareness
36,6829376.0,183377,22591,135173955.49,6928580496.24,2.685120866093769,737.1369118809884,51.25677110745322,0.12319429372276786,122,3104287.988934426,1107983.2417213116,Twitter,Engagement
37,2562863.0,60690,6545,56225644.19,1873916618.73,2.3680547887265138,926.4400097215356,33.32850420348381,0.10784313725490197,110,2826453.858,511142.2199090909,Twitter,Awareness
38,1662903.0,45074,4941,34370344.52,1576720513.35,2.7105609888249647,762.5314931002353,45.87444599027836,0.1096197364334206,123,3179407.2585365856,279433.6952845529,YouTube,Awareness
39,4216981.0,116719,13522,97643140.73,4276174678.84,2.7678331963079748,836.5659466753485,43.79390755838503,0.11585088974374352,113,2791036.1601769915,864098.5905309735,Instagram,Awareness
40,3376747.0,87426,9233,80607548.33,3103657521.24,2.589059825921219,922.0088798526754,38.503311234996346,0.10560931530665935,122,3197322.946065574,660717.6092622951,SMS,Engagement
41,4386758.0,117487,13488,74726509.59,4095301489.06,2.6782193136708248,636.0406648395142,54.80386427158962,0.11480419110199426,106,2958541.6758490563,704967.0716037736,Facebook Ads,Conversion
42,6796748.0,193145,22001,125230983.95,6728432013.32,2.84172666104437,648.3780783867043,53.728173340923426,0.11390923917264231,115,2902720.337478261,1088965.077826087,Twitter,Conversion
43,5718178.0,169426,20381,117068904.14,5726001922.76,2.962936795601676,690.973664844829,48.91138227374544,0.12029440581728897,109,3217740.447614679,1074026.6434862386,Email,Engagement
44,6549156.0,175218,16509,126116308.12,4939379364.75,2.6754287117301834,719.7679925578423,39.16527083912231,0.09421977194123891,116,2915891.397672414,1087209.5527586208,LinkedIn,Engagement
45,6628825.0,169389,17504,137379027.65,5284331965.71,2.555339747240273,811.0268532785482,38.46534697547046,0.1033361080117363,137,3001442.260729927,1002766.6251824818,Facebook Ads,Conversion
46,8694990.0,251528,24677,171211062.45,7331021302.03,2.892792286132589,680.6839097436468,42.818619294363245,0.09810836169333037,125,3091781.63072,1369688.4996,YouTube,Awareness
47,4181902.0,116884,13238,83904971.08,4330995371.34,2.794996152468422,717.8482177201328,51.617863823712796,0.11325758872044078,132,3017214.713409091,635643.7203030303,Unknown,Conversion
48,1926381.0,59766,5717,35501933.61,1875160476.78,3.1025015300711543,594.0155541612288,52.818544966570904,0.09565639326707492,141,3054001.5026950357,251786.76319148936,Google Ads,Conversion
49,5503745.0,133595,14811,113086846.45,4577756909.2,2.4273471972266156,846.4901115311202,40.4800120695204,0.11086492757962499,115,3181707.367478261,983363.8821739131,Facebook Ads,Conversion
50,5993566.0,182290,19715,133943416.53,6023272417.8,3.0414280913900007,734.7820315431455,44.968782892371095,0.10815184595973448,119,2662143.8214285714,1125574.9288235295,Instagram,Traffic
51,5568052.0,157315,15268,123382821.55,5039164871.9,2.8253148497894776,784.3042402186695,40.841705584256836,0.0970536821027874,111,2895234.84036036,1111556.9509009009,LinkedIn,Engagement
52,7554306.0,198710,19664,153149131.63,5670621597.94,2.630420319219264,770.7167813899653,37.02679563107099,0.09895828091188164,132,2995277.2797727273,1160220.6941666666,Telegram,Traffic
53,7528337.0,217812,23534,147441148.16,7531297482.89,2.8932286107808407,676.9193072925275,51.080024653071725,0.10804730685178043,133,2819299.94037594,1108580.0613533834,Twitter,Engagement
54,6145585.0,170292,18293,129545178.89,5662607747.13,2.7709648471219586,760.7238090456393,43.71145106016072,0.1074213703521011,119,3290502.7289915965,1088614.9486554621,Twitter,Engagement
55,5764376.0,156341,19168,118580806.87,5430567563.0199995,2.7121929589603453,758.4754278788034,45.79634517897592,0.12260379554947198,108,2840835.0012037037,1097970.4339814815,Instagram,Engagement
56,6722811.0,190333,19328,157058513.8,5594791857.25,2.831152028519023,825.1775246541588,35.6223405015437,0.10154833896381604,115,3264865.0008695656,1365726.2069565218,YouTube,Awareness
57,7314913.0,201337,21297,164229593.51,6424575828.91,2.752418244755611,815.6950461663777,39.119477139294055,0.1057778749062517,125,2965636.8756,1313836.7480799998,Google Ads,Awareness
58,2726571.0,75929,7260,75007161.34,2356870517.14,2.784779857190588,987.8592018859724,31.42193991926371,0.09561564092770879,114,2932671.0618421054,657957.5556140351,Email,Awareness
59,8432141.0,228558,22773,176837290.09,6994127729.65,2.7105571408258,773.708599523972,39.55120396885969,0.0996377287165621,119,2522934.8057142855,1486027.647815126,SMS,Traffic
60,5334986.0,158260,16052,116150918.47,4890054658.54,2.966455769518421,733.9246712372046,42.10086948045121,0.1014280298243397,133,2539584.1471428573,873315.1764661655,LinkedIn,Awareness
61,7805738.0,211889,22951,150440960.95,6960478383.03,2.7145287223322123,709.9989190094814,46.2671757683292,0.1083161466616955,121,3052978.7663636366,1243313.7268595041,LinkedIn,Conversion
62,7498174.0,209043,21598,145185769.92,6466852416.95,2.7879187652887225,694.5258627172399,44.541916335969795,0.10331845601144263,134,3079170.006119403,1083475.8949253731,TikTok,Awareness
63,9373010.0,246171,26095,174454155.08,7786034491.04,2.626381493244966,708.6706195287016,44.63083431558012,0.10600355037758306,136,2922394.490882353,1282751.1402941179,LinkedIn,Awareness
64,4626971.0,123394,13319,98561072.92,3857749120.58,2.666841871280369,798.7509353777332,39.14069729852937,0.10793879767249623,126,3108761.2844444443,782230.7374603174,YouTube,Traffic
65,1804841.0,51071,5455,34096280.49,1495546105.81,2.829667544121615,667.6250805741028,43.86244142520543,0.10681208513637877,102,3061796.147843137,334277.25970588234,SMS,Conversion
66,399431.0,13828,1296,7840377.43,453628939.86,3.4619245877260405,566.9928717095747,57.858048787837504,0.0937228811107897,106,3065722.9443396227,73965.82481132075,Twitter,Engagement
67,7985888.0,217336,21607,148726824.76,6619674846.79,2.721500727282927,684.3174842639967,44.50895026819909,0.09941749180991644,114,3320615.4775438597,1304621.2698245614,YouTube,Engagement
68,8009999.0,228078,23000,175390819.12,6405927538.19,2.847416085819736,768.994901393383,36.523733513138744,0.10084269416603092,139,3207178.5,1261804.4541007194,Twitter,Traffic
69,1823344.0,53336,5499,33372454.4,1714691524.45,2.925174843584096,625.7022348882556,51.3804440002471,0.10310109494525274,114,2621565.2336842106,292740.8280701754,Facebook Ads,Engagement
70,2334549.0,62942,6315,52851540.71,1801344191.06,2.6961096126061177,839.6863892154682,34.08309704619773,0.10033046296590512,119,3102506.3370588236,444130.5942016807,Telegram,Conversion
71,2338047.0,64808,7006,44032626.47,2083496338.24,2.7718861083630912,679.4319600975188,47.31710336787457,0.10810393778545858,114,2773448.3204385964,386251.1093859649,Instagram,Conversion
72,7493064.0,189747,19037,145246058.81,6105053259.84,2.5323018727719395,765.4722278086083,42.03248824690089,0.1003283319367368,133,3173169.2614285713,1092075.630150376,Instagram,Engagement
73,1829548.0,52701,5443,36082496.57,1538877029.54,2.8805475450767073,684.6643625358153,42.648851266557465,0.10328077266086033,134,2652205.743955224,269272.36246268655,Telegram,Engagement
74,6708055.0,197375,22541,133958279.74,7181707025.62,2.942358105292816,678.6993273717543,53.61152024017474,0.11420392653578214,102,3002544.2616666667,1313316.4680392155,Facebook Ads,Engagement
75,1557346.0,36165,3563,36359987.83,1016256479.41,2.3222199819436398,1005.391617033043,27.94985752364593,0.09852066915526062,130,2866372.546076923,279692.2140769231,Telegram,Traffic
76,2972766.0,76307,7615,58830839.48,2274603303.21,2.566868700731911,770.9756572791487,38.6634514026146,0.09979425216559425,117,2839776.353931624,502827.6878632478,Facebook Ads,Engagement
77,5212508.0,146735,15622,104252486.59,4979967313.06,2.8150556315692943,710.4813888302041,47.76833124992995,0.10646403380243295,139,2921615.6177697843,750017.8891366906,Email,Engagement
78,4556223.0,123300,13282,89634682.1,3842166868.9,2.706188876180995,726.9641695052717,42.86473470853087,0.10772100567721006,118,3212240.359745763,759615.95,Facebook Ads,Awareness
79,1083150.0,27782,3123,20371394.6,939939477.79,2.5649263721552877,733.258750269959,46.140163510945875,0.11241091354114174,135,3095902.88362963,150899.21925925926,Google Ads,Awareness
80,5278002.0,140500,12530,113450290.67999999,3986087170.71,2.661992170522103,807.475378505338,35.135098789241816,0.08918149466192171,117,2895725.831111111,969660.604102564,Email,Conversion
81,1650926.0,43337,4375,30115353.69,1064643298.02,2.6250116601228646,694.9109003853521,35.35217646716604,0.10095299628492974,122,3083266.0006557377,246847.16139344263,Google Ads,Engagement
82,477619.0,15282,1402,7716283.9,386517538.84000003,3.1996214555953597,504.926312001047,50.09115059128398,0.09174191859704227,124,2839275.507741935,62228.09596774194,Twitter,Engagement
83,5429731.0,147676,14814,122883376.76,4446696785.73,2.7197664120008893,832.1147428153525,36.18631667662189,0.10031420135973347,123,2878059.53495935,999051.8435772358,SMS,Conversion
84,3228606.0,93368,9104,64771204.61,2571143689.82,2.8918982371958672,693.7195249978579,39.695783107653405,0.09750664039071202,152,2863015.0005263155,426126.34611842106,Instagram,Awareness
85,4015503.0,118487,11897,89472121.17999999,3123444584.46,2.950738674581989,755.1218376699553,34.90969637543582,0.1004076396566712,143,2954404.895944056,625679.1690909091,Facebook Ads,Awareness
86,7040530.0,188879,20040,141921402.61,5912851517.68,2.6827383733895034,751.3879394215345,41.66285992767782,0.10609967227696038,104,3280874.597115385,1364628.87125,Twitter,Conversion
87,1420684.0,39375,3747,27866687.53,1113001325.25,2.7715522945285507,707.7253975873016,39.94020904177411,0.09516190476190477,116,2711643.944137931,240230.06491379312,Email,Awareness
88,6416165.0,181595,17746,113198189.7,5306907883.88,2.830273223958548,623.3552118725736,46.88156142730258,0.0977229549271731,115,2928481.2779130433,984332.0843478261,Twitter,Awareness
89,5721929.0,153434,15233,108966161.47,4276681996.98,2.681508281560292,710.1826288176023,39.247798943137354,0.0992804723855208,110,3067093.973181818,990601.4679090909,Email,Conversion
90,2002183.0,59839,6185,41731936.88,1896135968.75,2.988687847214765,697.4036477882318,45.43608829377679,0.10336068450341751,118,3213450.5180508476,353660.48203389836,Twitter,Conversion
91,8285599.0,217352,23776,178007523.48,7094172968.73,2.623250292465276,818.9826800765578,39.853219852963484,0.10938937759946998,133,2959623.4290225566,1338402.432180451,Telegram,Conversion
92,7776492.0,221343,24551,166003670.15,7454495148.51,2.846309106985515,749.9838266852803,44.90560444702312,0.11091834844562512,120,3336062.9095,1383363.9179166667,LinkedIn,Traffic
93,3157134.0,93312,9928,64751086.94,2817549672.88,2.9555920021133093,693.9202561299726,43.5135502125364,0.1063957475994513,125,2821072.89408,518008.69552,Twitter,Engagement
94,4120278.0,108522,11164,81109142.35,3251491860.77,2.6338514051721753,747.3981529090875,40.08785898313719,0.10287315014467113,140,3068654.6142857145,579351.0167857142,Telegram,Awareness
95,2624706.0,71495,8300,50500051.56,2087187341.6299999,2.7239241271212853,706.3438220854606,41.330400210585445,0.11609203440800056,129,3174642.475736434,391473.26790697675,YouTube,Traffic
96,7572597.0,247913,25833,156294087.68,7873564043.77,3.2738174235338287,630.4392576428021,50.37659556189042,0.10420187727146217,143,2845196.1515384614,1092965.6481118882,Facebook Ads,Conversion
97,531978.0,14698,916,9129337.15,330532747.77,2.762896209993646,621.1278507279902,36.20555822828823,0.06232140427269016,131,3223104.2067175573,69689.5965648855,Instagram,Conversion
98,1667759.0,55469,6081,35332488.27,1599797875.3600001,3.325960165707395,636.9771993365664,45.278381277164435,0.10962880167300654,143,2867190.2809090912,247080.33755244757,Email,Traffic
99,4778221.0,122051,12803,93017125.53,3832518475.79,2.554318856327491,762.1168653267896,41.20228886834319,0.10489877182489288,128,3245011.9753125,726696.293203125,Telegram,Traffic
100,7657800.0,216538,23290,146516367.26,7370562566.54,2.8276789678497742,676.6312021908394,50.30538706614668,0.10755617951583556,124,3188495.360967742,1181583.6069354839,Twitter,Conversion
101,1293221.0,32376,3189,27864870.15,936311143.95,2.5035164136678882,860.6643856560414,33.60184845325755,0.0984988880652335,112,3174327.4495535716,248793.48348214285,Instagram,Traffic
102,6978235.0,192326,20911,138361193.01,6318228377.4800005,2.7560837375066907,719.4097158470513,45.664743415614765,0.10872684920395578,129,2775464.5250387597,1072567.3876744185,Email,Traffic
103,2658376.0,73737,7070,59983398.8,2272750689.97,2.7737611233324406,813.4776136810556,37.88966173037197,0.09588130789156055,116,2870897.1025,517098.2655172414,LinkedIn,Engagement
104,407035.0,8184,702,9462551.06,182937688.15,2.010637905831194,1156.2256915933528,19.33280856188056,0.08577712609970674,115,3240475.295478261,82283.05269565218,Email,Engagement
105,2091602.0,58200,5452,45738923.89,1666835496.51,2.7825561459589347,785.8921630584192,36.44238549465358,0.09367697594501719,129,3098619.807209302,354565.30147286825,LinkedIn,Awareness
106,4845166.0,130814,13548,112967262.95,4003254013.7999997,2.6998868563017244,863.5716586145214,35.43729315254689,0.10356689650954791,125,3212160.65888,903738.1036,LinkedIn,Traffic
107,2207419.0,57453,5828,34057463.83,1522869423.29,2.6027229085189534,592.7882587506309,44.714704268394726,0.10143943745322263,123,3294686.6392682926,276889.94983739837,YouTube,Traffic
108,5759464.0,165938,17035,108488006.77,5292781344.31,2.881136161281675,653.7863947377936,48.78678760806217,0.1026588243801902,120,2757712.1368333334,904066.7230833333,LinkedIn,Engagement
109,6546219.0,170557,15081,143379837.91,4547619188.89,2.605427652206564,840.6564251833697,31.71728504634352,0.08842205245167305,118,2870244.0086440677,1215083.372118644,Google Ads,Traffic
110,402820.0,11371,1216,12631080.38,434920680.74,2.8228489151482052,1110.8152651481842,34.43257960963114,0.10693870371998945,96,3022147.5534375,131573.75395833334,Twitter,Conversion
111,5290210.0,135435,15179,118728967.27,4375650510.13,2.560106309579393,876.6490735038948,36.854110759503115,0.11207590356997822,125,3123298.61816,949831.73816,Facebook Ads,Awareness
112,400742.0,13932,1290,7713941.55,495613988.04999995,3.4765509978988973,553.6851528854436,64.24912411346959,0.09259259259259259,111,2981408.325765766,69494.96891891892,YouTube,Conversion
113,9105402.0,266654,27752,178523317.38,8702589171.72,2.928525286417887,669.4942411514547,48.74763307918987,0.1040749435598191,103,3235897.0772815533,1733236.0910679612,Telegram,Conversion
114,2969748.0,83221,8156,61165847.12,2300176005.56,2.8022916422538207,734.9809197197823,37.60556117284426,0.09800410953965946,115,2923638.5802608696,531876.9314782609,Twitter,Engagement
115,6730698.0,188413,19353,136367014.22,5788315222.45,2.799308481824619,723.7664822491017,42.44659352232901,0.10271584232510496,128,3116444.57046875,1065367.29859375,Instagram,Engagement
116,4705368.0,117956,12571,98361065.13,3801090459.13,2.506838997502427,833.8792865983926,38.64425882442658,0.10657363762758995,125,3228990.6308000004,786888.5210399999,YouTube,Traffic
117,1492696.0,34980,4569,27179490.88,1500873480.84,2.343410848558581,777.0008827901657,55.22080922952152,0.13061749571183534,128,3117912.128671875,212339.7725,Google Ads,Traffic
118,1886209.0,47678,3964,46910394.839999996,1275612122.83,2.5277156455090606,983.9002231637232,27.19252581822865,0.08314107135366416,150,2773080.590266667,312735.9656,Twitter,Engagement
119,4901203.0,143140,14736,105760299.62,4097699280.54,2.9205074754096083,738.8591562107028,38.745155746184146,0.1029481626379768,113,2882354.212300885,935931.8550442478,Email,Engagement
120,5859595.0,165810,16741,136218260.09,4810285183.57,2.8297177535307476,821.532236234244,35.313071686511215,0.10096495989385441,122,3044685.412622951,1116543.1154918033,Twitter,Engagement
121,9244242.0,272154,26397,169833833.97,7917243486.68,2.9440380292943438,624.0357811018762,46.61758674115858,0.09699287903172468,94,3080311.7662765956,1806742.914574468,Instagram,Traffic
122,2107519.0,66187,8012,49088040.12,2596319322.29,3.140517357138892,741.6568226388868,52.89107725513324,0.12105096166920996,128,2901760.01296875,383500.3134375,Telegram,Traffic
123,6748224.0,199824,20107,146114643.86,6164888568.61,2.961134662986884,731.2166899871888,42.19213355861099,0.10062354872287613,131,3056974.624885496,1115378.960763359,SMS,Conversion
124,927392.0,26403,2562,13905744.16,830698972.02,2.8470161485110936,526.6728841419535,59.73782937913622,0.09703442790591978,118,3115783.1884745765,117845.28949152543,Email,Awareness
125,4625902.0,129934,13624,101612632.1,4731492415.97,2.8088359848522515,782.0326635060877,46.564017860629754,0.10485323317992211,123,2668134.2249593497,826118.9601626016,Twitter,Engagement
126,2496138.0,69135,6141,47122868.67,1941027086.66,2.769678599500508,681.6065476242135,41.190766637170434,0.08882620958993274,109,3012464.714220184,432319.8960550459,Email,Engagement
127,4046195.0,113153,12177,84579795.35,3427007581.7,2.7965285904411425,747.4816871846084,40.51804059726896,0.10761535266409199,128,3082051.642421875,660779.651171875,Google Ads,Conversion
128,8315571.0,216073,19812,184649554.44,5936012413.94,2.5984144684712573,854.5702352445701,32.14745051480125,0.09169123398110823,129,2853078.7435658914,1431391.894883721,SMS,Traffic
129,2018578.0,50791,6159,46408678.92,1874745037.04,2.516177229713194,913.7185509243764,40.396431888779134,0.12126164084188143,119,3227267.932689076,389988.89848739497,YouTube,Conversion
130,5015686.0,130769,13389,101066601.13,4348957054.29,2.607200689995347,772.863607812249,43.030605617141724,0.10238665127056107,117,3223885.2689743587,863817.1036752136,Google Ads,Awareness
131,5530840.0,156846,16061,106550827.23,4960670451.79,2.835844103246523,679.334042500287,46.55684597438108,0.10239980617930965,102,2582552.3424509806,1044615.9532352942,TikTok,Engagement
132,1308418.0,32990,3001,25961639.88,1080562622.43,2.5213654963474976,786.9548311609578,41.62150878852727,0.09096695968475295,121,3098748.006198347,214559.00727272726,YouTube,Conversion
133,6566304.0,195266,19964,127163196.96,5731922324.56,2.9737581446122507,651.230613419643,45.07532416287877,0.10224002130427212,114,3043382.526666667,1115466.64,Twitter,Awareness
134,7214831.0,201894,23296,145709372.87,6891701362.57,2.79831918446877,721.7122493486681,47.297584409471625,0.11538728243533736,98,2954864.677142857,1486830.3354081633,YouTube,Traffic
135,2537488.0,67624,6658,56715788.63,2146438544.9,2.6649978246202544,838.6931951673962,37.84552056399749,0.09845616940731101,132,3024490.478030303,429665.0653787879,Twitter,Awareness
136,1495425.0,40877,4740,32971947.61,1476384212.08,2.7334704181085643,806.6136852019473,44.776979192828456,0.11595762898451452,131,3078350.4962595417,251694.2565648855,Email,Awareness
137,4462967.0,127953,12866,92973635.12,3869248713.55,2.866994087117382,726.623331379491,41.61662291203313,0.10055254663821872,108,2572738.763703704,860866.9918518519,Instagram,Conversion
138,3864462.0,100611,10919,90094955.44,3335797041.84,2.603493060612318,895.4781827036804,37.02534759630933,0.10852690063710728,113,3010218.2207079646,797300.490619469,SMS,Conversion
139,5616323.0,153522,15566,122057828.64,4726354867.26,2.733496631158856,795.0510587407668,38.72225911211327,0.10139263428042887,132,3061939.0561363637,924680.52,Email,Traffic
140,6853364.0,164698,17463,142175318.62,4750203413.82,2.4031701803668972,863.2486042332026,33.410886361479776,0.10603043145636255,119,3318026.5444537816,1194750.5766386555,YouTube,Traffic
141,2809547.0,71662,7312,47569489.67,2190924368.37,2.5506603021768277,663.8035453936536,46.0573443938315,0.10203455108704752,126,2929076.3133333335,377535.6323015873,Google Ads,Engagement
142,1086604.0,33592,3862,25165638.87,1092747739.41,3.0914666244556432,749.155717730412,43.42221332249452,0.11496784948797333,121,2918426.6249586777,207980.48652892563,Instagram,Conversion
143,8086822.0,215283,20618,167014481.71,6271411365.79,2.6621458961258204,775.7903861893415,37.55010524584048,0.0957716122499222,127,3144818.807480315,1315074.6591338583,YouTube,Conversion
144,8397586.0,223585,24369,158145761.38,7154583407.73,2.6624913397731205,707.318296755149,45.24043733640533,0.10899210591050383,136,3012748.3239705884,1162836.480735294,LinkedIn,Traffic
145,4144770.0,113183,13046,87607619.81,3845332200.18,2.730742598503656,774.0351449422617,43.89266833774969,0.11526465988708552,120,3279521.8079166664,730063.4984166666,Telegram,Awareness
146,2990057.0,84792,9088,55228746.32,2648111639.58,2.835798782431238,651.3438333805076,47.94806719378742,0.10717992263421078,135,3266902.0839259257,409101.8245925926,YouTube,Engagement
147,4372345.0,128181,13843,98927007.57,3805350978.86,2.931630509486328,771.7759072717485,38.46624973637621,0.10799572479540649,105,3119030.8593333336,942161.9768571428,Instagram,Awareness
148,5079656.0,156392,17716,108376137.41,5251125076.67,3.078791162236183,692.9775014706635,48.45277938633632,0.1132794516343547,124,2698336.320403226,874001.1081451613,Instagram,Awareness
149,411321.0,8061,728,10323345.81,188374958.12,1.9597832349916486,1280.653245254931,18.24747146777988,0.09031137575983128,110,3218784.123636364,93848.59827272728,Instagram,Awareness
150,2656557.0,66391,7152,57807778.05,2169553904.58,2.499137040914236,870.7170859001973,37.53048426638152,0.10772544471389195,139,2993937.092877698,415883.295323741,SMS,Engagement
151,3792177.0,107473,11324,90473106.71,3491319709.92,2.8340712999419595,841.821729271538,38.589585755145784,0.10536599890204981,110,2891356.7551818183,822482.7882727272,Telegram,Traffic
152,8679435.0,241950,24353,176914127.86,7187477356.2699995,2.7876238487873923,731.2011897499484,40.626926991143236,0.10065302748501756,115,3016606.206173913,1538383.7205217392,Twitter,Awareness
153,9018851.0,237598,24350,182688863.94,7220227729.93,2.6344597554610893,768.8989972137813,39.52199151176133,0.10248402764333032,111,2974011.1854054052,1645845.621081081,Telegram,Traffic
154,452657.0,9037,1004,10484658.88,304195760.83,1.9964343863013274,1160.192417837778,29.013415153664965,0.11109881597875401,124,3006467.914435484,84553.7006451613,LinkedIn,Engagement
155,4058034.0,115072,13026,77507491.16,3681258372.61,2.8356588436666623,673.5564790739711,47.49551711086503,0.11319869299221356,134,2833605.6861940296,578414.1131343283,Telegram,Engagement
