customer_id,campaign_id,acquisition_date,first_purchase_amount,lifetime_value,source,device,age_group,gender
68,227,2024-01-21,414412.79,1759701.1,Direct,desktop,18-24,m
69,160,2025-05-12,962694.97,3160729.82,Email,desktop,35-44,Male
70,254,2024-12-06,1668011.73,5154835.9,Direct,mobile,55+,Female
71,97,2025-03-07,836446.91,3313954.4,Email,Tablet,25-34,M
72,303,2025-01-09,1280396.13,3362179.59,Organic,Mobile,45-54,Female
73,293,2025-08-12,1076977.18,1358385.22,Instagram,Tablet,55+,M
74,374,2024-01-25,1774168.36,7057773.77,Referral,Mobile,25-34,m
75,45,2025-04-28,1588822.68,6100885.48,Facebook,desktop,25-34,m
76,160,2024-04-15,621163.9,2829997.43,Instagram,mobile,25-34,m
77,97,2025-06-11,670062.76,3130892.34,Email,Tablet,18-24,f
78,187,2024-01-12,1412121.81,5527271.11,Email,Desktop,45-54,Male
79,74,2024-12-30,1397836.51,4602785.45,Facebook,mobile,35-44,M
80,50,2025-07-05,1382533.19,4784214.56,Email,Mobile,45-54,Male
81,495,2024-02-15,1228246.96,3579093.51,Direct,desktop,45-54,f
82,448,2024-07-11,1642165.47,1857490.31,Direct,mobile,25-34,
83,3,2023-12-11,1029069.07,1300145.96,Facebook,mobile,25-34,Female
84,221,2025-05-21,1964799.38,2791356.91,Organic,Mobile,35-44,Male
85,141,2025-10-20,1211233.38,4745812.98,Email,Tablet,35-44,Male
86,67,2024-07-28,1308343.43,3239170.83,Referral,Desktop,45-54,f
87,278,2025-01-30,401330.42,1241102.38,Google,Desktop,25-34,
88,400,2024-05-20,1856187.81,4300319.17,Email,Mobile,45-54,Female
89,26,2024-06-08,1420910.54,1999518.61,Email,Desktop,45-54,Female
90,413,2024-02-02,1363860.03,5392975.38,Facebook,Desktop,35-44,Male
91,29,2024-03-13,1771661.18,7143238.99,Referral,desktop,25-34,F
92,369,2025-10-02,998847.24,3079382.31,Organic,Desktop,25-34,f
93,88,2025-06-10,1197632.45,1664212.56,Facebook,desktop,45-54,Male
94,439,2023-11-19,511038.99,1841641.51,Facebook,Desktop,45-54,M
95,425,2025-09-24,822268.15,2641970.59,Organic,Tablet,55+,f
96,478,2025-06-24,1839973.95,3649101.26,Facebook,desktop,18-24,Female
97,485,2024-12-26,1370582.62,4948684.05,Instagram,desktop,35-44,F
98,413,2024-10-03,681326.53,3329973.63,Facebook,desktop,45-54,Male
99,370,2024-01-07,236073.19,457139.44,Google,mobile,35-44,Female
100,488,2025-10-23,1799145.49,7734349.51,Instagram,mobile,45-54,Male
101,470,2023-11-11,942385.48,2206925.5,Instagram,Desktop,55+,f
102,69,2025-07-19,1899905.83,3073203.63,Referral,desktop,45-54,
103,486,2025-04-08,1869076.18,2975367.42,Direct,desktop,35-44,M
104,475,2025-02-04,314420.32,673595.34,Direct,desktop,25-34,M
105,23,2025-02-17,1323267.87,2267389.48,Instagram,Tablet,25-34,M
106,268,2025-08-24,168368.03,456612.74,Google,Mobile,45-54,Female
107,159,2024-05-28,1553858.02,5701306.99,Facebook,Desktop,35-44,m
108,182,2024-07-15,1752873.82,7918562.02,Google,Desktop,25-34,m
109,431,2023-12-30,1647209.02,5908844.61,Organic,mobile,45-54,m
110,237,2024-11-01,629154.5,2417731.49,Instagram,Mobile,45-54,f
111,298,2025-06-20,1630274.31,3384972.95,Referral,desktop,35-44,F
112,369,2024-08-17,591435.91,2892777.92,Email,mobile,18-24,F
113,479,2024-08-11,1917661.71,7878864.85,Referral,Desktop,18-24,f
114,427,2025-05-27,1653755.51,7733455.37,Direct,Desktop,45-54,Male
115,294,2025-08-21,236081.03,796456.42,Referral,Desktop,45-54,m
116,29,2024-02-03,1984333.54,6205089.96,Referral,Desktop,25-34,Male
117,243,2024-12-30,169240.61,428032.57,Direct,Mobile,45-54,F
118,197,2023-12-07,381246.57,1666898.48,Referral,Desktop,45-54,F
119,375,2025-05-25,1489475.86,3936238.32,Google,Mobile,45-54,F
120,239,2025-06-08,1562162.87,2747815.98,Direct,Tablet,45-54,Male
121,40,2024-12-14,1787633.04,4127623.81,Organic,desktop,18-24,Male
122,231,2025-11-03,1663348.22,3965274.13,Email,desktop,18-24,Female
123,456,2025-08-10,1654332.08,6987835.68,Google,Tablet,35-44,Female
124,18,2025-05-23,1634223.73,5083304.89,Google,desktop,18-24,Male
125,395,2025-07-10,942483.02,3188379.63,Referral,mobile,45-54,
126,250,2024-04-08,196590.25,390202.26,Facebook,Tablet,25-34,Female
127,195,2025-08-17,1945858.53,8950139.9,Email,Desktop,55+,F
128,408,2025-04-30,1552084.11,4681377.33,Direct,Mobile,45-54,m
129,225,2024-07-22,253487.35,1253759.9,Facebook,Desktop,35-44,f
130,161,2024-06-10,1959691.39,2315598.96,Instagram,Tablet,18-24,m
131,289,2025-04-14,468664.48,2174267.84,Facebook,mobile,18-24,
132,500,2024-11-15,473800.4,603626.23,Facebook,mobile,45-54,f
133,272,2025-10-05,851140.54,2528641.02,Facebook,Mobile,25-34,M
134,434,2023-12-24,219082.03,874284.41,Facebook,Tablet,45-54,F
135,40,2024-01-05,746402.42,1877735.86,Referral,mobile,35-44,Female
136,341,2024-05-08,1094557.69,2973755.14,Organic,Desktop,18-24,Male
137,35,2024-08-23,326519.15,895611.07,Facebook,Tablet,25-34,m
138,43,2025-03-06,1232006.78,4640676.9,Organic,Desktop,25-34,Male
139,6,2024-02-24,1821824.36,1955375.32,Direct,Mobile,35-44,f
140,32,2024-02-16,1266340.18,1862882.38,Google,Desktop,18-24,M
141,341,2024-09-13,510904.87,2017479.75,Google,desktop,55+,
142,94,2024-12-29,849939.97,2170751.82,Instagram,mobile,18-24,
143,36,2024-07-04,590159.16,1313067.57,Google,Tablet,35-44,f
144,204,2024-04-29,600191.04,663367.62,Referral,Mobile,45-54,f
145,52,2024-08-04,1159585.13,5682979.31,Google,mobile,18-24,
146,344,2024-02-03,851131.84,4017262.71,Organic,Mobile,45-54,Male
147,416,2023-12-19,818429.93,3027221.54,Organic,Desktop,45-54,Female
148,294,2025-07-30,631439.31,2580966.29,Referral,Tablet,55+,m
149,309,2024-11-13,644860.89,1675801.62,Instagram,desktop,45-54,f
150,44,2023-12-31,876672.15,3759377.3,Google,desktop,25-34,f
151,318,2024-03-06,686746.22,1169038.54,Direct,mobile,45-54,F
152,357,2024-11-05,761191.0,3768758.84,Email,Mobile,45-54,Male
153,387,2023-12-03,594098.71,2549584.98,Referral,Mobile,35-44,
154,211,2023-12-30,624809.99,1921107.1,Email,desktop,45-54,Female
155,215,2025-02-01,1733235.38,5734016.62,Email,desktop,18-24,Female
156,288,2024-03-28,450677.48,1077610.48,Referral,Tablet,18-24,F
157,327,2025-01-18,1059257.78,4985503.87,Referral,mobile,25-34,M
158,370,2025-09-27,792368.13,3748197.5,Referral,Desktop,35-44,f
159,310,2024-03-18,1959505.53,1051192.87,Organic,Desktop,35-44,F
160,251,2024-05-08,902090.98,1239824.86,Organic,Desktop,18-24,Male
161,492,2025-08-29,1158708.18,2104102.37,Facebook,desktop,55+,M
162,367,2024-06-02,1757548.76,8115485.03,Organic,mobile,45-54,Male
163,14,2023-12-27,1483430.7,4905444.61,Email,Tablet,25-34,F
164,478,2025-07-24,167511.79,445697.92,Instagram,Mobile,18-24,M
165,277,2024-12-03,879681.64,1848820.23,Referral,mobile,55+,f
166,77,2024-08-09,151540.24,681747.38,Direct,desktop,35-44,f
167,180,2025-05-25,1399871.12,4508441.74,Direct,mobile,25-34,Female
168,73,2023-12-06,458739.49,507465.99,Direct,Desktop,35-44,m
169,46,2025-02-08,438266.6,1243443.22,Direct,desktop,35-44,M
170,493,2023-12-24,1927572.94,6182941.43,Organic,desktop,45-54,Female
171,143,2025-11-04,155192.87,597264.74,Facebook,Desktop,55+,Male
172,17,2024-06-11,1093059.26,1627320.16,Direct,Mobile,45-54,M
173,430,2025-05-14,1276204.85,3367948.57,Google,desktop,18-24,
174,229,2024-10-09,1769254.96,1874977.57,Email,Tablet,18-24,F
175,88,2024-10-20,1343980.05,6191457.68,Referral,desktop,25-34,M
176,460,2024-10-03,1208808.35,2884727.87,Direct,mobile,55+,M
177,453,2024-04-19,266360.1,1266964.52,Facebook,Desktop,35-44,Female
178,369,2024-06-16,174553.62,350333.41,Referral,Mobile,45-54,M
179,248,2025-07-20,623255.97,1756213.18,Google,desktop,18-24,Male
180,288,2025-08-04,1145780.97,4729505.87,Direct,mobile,55+,M
181,237,2025-07-30,427453.98,1112740.66,Organic,mobile,25-34,Female
182,159,2025-05-25,729189.91,2567789.86,Organic,Mobile,55+,M
183,177,2024-09-22,1259388.73,2008112.26,Referral,Desktop,55+,M
184,219,2025-02-08,509632.05,1976211.25,Referral,Mobile,18-24,
185,438,2023-12-02,643855.14,1002587.28,Organic,Mobile,35-44,M
186,455,2024-05-11,1289798.7,4879572.68,Email,mobile,55+,F
187,125,2025-01-04,1139360.31,5337423.96,Facebook,mobile,25-34,f
188,143,2024-09-23,406524.14,1217569.41,Direct,desktop,18-24,Male
189,56,2025-02-19,285434.13,340698.45,Email,Tablet,45-54,m
190,216,2025-03-03,885843.02,4064125.43,Instagram,desktop,35-44,Male
191,54,2025-09-20,1274301.88,3023473.5,Direct,Desktop,25-34,Female
192,493,2023-12-14,1173301.44,,Direct,mobile,18-24,F
193,106,2025-05-05,964796.66,1378961.92,Email,mobile,18-24,
194,356,2025-10-10,547756.54,1434108.28,Facebook,Mobile,45-54,Male
195,71,2025-05-03,1006265.96,2388334.25,Instagram,mobile,18-24,f
196,446,2024-09-26,612154.17,2588459.35,Email,mobile,45-54,M
197,164,2024-07-30,1019613.5,903544.03,Google,Mobile,18-24,f
198,269,2025-04-16,250392.67,932076.5,Direct,mobile,45-54,F
199,52,2025-10-25,364744.89,735043.12,Google,Tablet,55+,f
200,327,2024-09-01,1755621.54,3431430.82,Google,Tablet,55+,F
201,260,2023-12-05,1369782.39,4189621.38,Organic,desktop,35-44,
202,475,2024-07-10,1334532.25,,Instagram,desktop,18-24,F
203,191,2024-10-20,51782.62,254195.78,Facebook,Tablet,18-24,M
204,360,2025-08-31,1307114.97,2158205.17,Organic,Desktop,35-44,Female
205,195,2025-10-07,1147404.44,3264828.77,Organic,Desktop,55+,Female
206,396,2025-04-12,1265156.64,1827842.93,Google,Mobile,35-44,Female
207,198,2024-02-17,174187.18,623051.91,Organic,Tablet,25-34,F
208,489,2025-01-04,1835842.16,7846378.6,Google,desktop,35-44,f
209,173,2025-08-02,1845221.58,3792639.01,Instagram,Mobile,45-54,m
210,440,2025-06-08,1378171.94,1538846.31,Referral,Desktop,55+,M
211,198,2024-05-21,1770943.93,5737333.59,Referral,Desktop,25-34,m
212,396,2025-06-14,1301580.2,2877351.2,Instagram,Tablet,55+,F
213,500,2025-04-15,1703512.65,2313579.66,Instagram,mobile,55+,m
214,448,2025-09-04,494089.27,1690502.39,Email,desktop,35-44,F
215,479,2024-02-23,417930.31,1369690.8,Instagram,Tablet,45-54,M
216,387,2025-08-10,393842.49,1111240.14,Referral,Desktop,35-44,Female
217,2,2025-01-17,849722.88,1707378.37,Referral,mobile,45-54,F
218,416,2025-07-02,1346818.69,2963728.03,Facebook,Desktop,25-34,Male
219,431,2025-02-05,1361413.91,1599437.01,Direct,mobile,18-24,Male
220,252,2024-05-19,414676.07,1938666.47,Email,mobile,18-24,f
221,41,2025-07-31,482403.8,1732661.62,Facebook,desktop,35-44,m
222,367,2024-03-18,791773.2,1686467.81,Referral,Tablet,25-34,Female
223,363,2024-01-12,1431384.3,1673941.12,Instagram,desktop,55+,M
224,222,2025-09-11,1595092.05,6521893.29,Direct,mobile,25-34,
225,355,2025-06-10,1048696.53,3717794.49,Email,Mobile,18-24,Male
226,95,2024-11-26,1330108.43,4323626.17,Email,Desktop,35-44,Male
227,234,2024-12-12,1607799.11,5565437.47,Organic,Desktop,25-34,Male
228,174,2024-05-16,397418.18,685391.95,Organic,Tablet,55+,Male
229,490,2024-04-14,609535.56,811358.21,Referral,mobile,18-24,M
230,84,2024-02-16,388954.56,1274205.24,Referral,Mobile,55+,Female
231,447,2024-09-07,1856915.0,2612860.67,Instagram,mobile,45-54,
232,392,2024-12-03,974158.85,4732133.17,Facebook,Mobile,45-54,F
233,473,2024-06-03,1279446.93,1103097.34,Referral,Tablet,25-34,f
234,229,2025-03-07,1278828.22,1836885.13,Facebook,mobile,18-24,M
235,320,2024-05-23,161623.15,265629.05,Email,Mobile,55+,f
236,386,2024-10-11,202361.87,285726.2,Referral,Mobile,35-44,M
237,58,2024-12-04,1083681.58,1656647.93,Direct,mobile,55+,f
238,412,2024-04-21,1475941.56,6428763.19,Instagram,desktop,18-24,m
239,108,2024-06-14,712722.35,757222.79,Referral,Mobile,35-44,m
240,469,2025-09-22,1201715.78,3371903.77,Email,Tablet,18-24,Female
241,262,2025-08-16,1097846.8,5248721.73,Organic,Mobile,45-54,m
242,88,2024-01-23,1228206.09,4799038.29,Instagram,Tablet,25-34,f
243,158,2023-11-21,671457.69,2958135.28,Instagram,Desktop,18-24,F
244,386,2024-08-04,504785.35,1679302.18,Email,mobile,45-54,
245,483,2024-03-13,224519.45,397406.89,Email,mobile,55+,Male
246,245,2025-06-16,1933644.43,4035881.09,Direct,Tablet,45-54,f
247,341,2025-08-27,588869.9,977250.47,Email,Tablet,25-34,m
248,317,2025-08-30,992531.47,2929405.3,Instagram,Desktop,25-34,Male
249,376,2024-10-10,967831.22,1567377.15,Instagram,Tablet,45-54,Male
250,350,2024-09-07,814283.62,1489039.52,Facebook,Desktop,25-34,
251,110,2024-09-11,864217.29,3122042.78,Email,Mobile,55+,M
252,210,2024-08-07,122839.04,420147.66,Instagram,Mobile,25-34,Female
253,421,2024-07-09,366903.32,473738.15,Referral,desktop,25-34,F
254,414,2025-03-07,567805.25,1466448.73,Instagram,desktop,55+,
255,240,2023-11-20,379513.86,1213784.73,Referral,desktop,18-24,Male
256,364,2024-10-21,1007728.48,2730946.46,Organic,Tablet,45-54,
257,155,2025-09-13,854997.91,2614192.2,Email,Desktop,18-24,M
258,48,2025-09-04,540905.17,1140011.14,Google,desktop,55+,f
259,416,2024-03-18,1147419.48,1693192.59,Google,mobile,25-34,Female
260,33,2025-09-23,1092683.4,2824951.7,Referral,mobile,45-54,Female
261,186,2025-08-15,1740856.59,2097278.68,Email,desktop,45-54,
262,156,2025-10-21,818421.61,3980150.96,Direct,Desktop,35-44,
263,77,2025-06-24,1281214.77,3829302.36,Organic,Tablet,25-34,Female
264,170,2025-04-21,681180.37,590079.61,Google,desktop,55+,Female
265,453,2025-08-29,448528.23,1419049.33,Direct,Desktop,35-44,m
266,130,2025-10-19,1045151.97,821430.02,Email,Desktop,25-34,Female
267,170,2025-06-10,651403.12,2388172.54,Referral,Tablet,18-24,
268,478,2025-02-17,387947.57,724602.91,Direct,desktop,18-24,F
269,363,2024-10-10,642610.48,1036109.08,Email,Mobile,35-44,Female
270,187,2024-08-29,1200668.08,4328279.39,Organic,Mobile,18-24,F
271,177,2025-06-11,732873.24,3024394.51,Facebook,Desktop,35-44,m
272,158,2025-07-28,838509.89,2055201.7,Instagram,Desktop,25-34,
273,326,2024-09-28,483237.49,1923477.66,Instagram,Mobile,45-54,f
274,474,2024-12-15,1605800.62,7217440.87,Referral,desktop,25-34,Female
275,445,2024-02-13,1165142.34,1203724.59,Organic,Mobile,45-54,M
276,447,2024-02-11,784712.53,3472890.24,Organic,mobile,45-54,Male
277,138,2025-06-20,500483.88,663512.58,Instagram,mobile,45-54,Male
278,484,2023-11-18,1148256.48,4234692.82,Referral,Tablet,35-44,M
279,472,2025-06-19,780825.99,1805353.1,Facebook,Tablet,55+,f
280,286,2024-08-29,991667.1,2273396.75,Google,Mobile,35-44,M
281,199,2024-12-13,1949455.45,6917932.11,Organic,Tablet,55+,
282,381,2024-05-16,445900.46,1749168.3,Referral,mobile,55+,F
283,230,2024-01-25,351461.95,1093896.43,Email,Tablet,25-34,M
284,312,2025-06-07,1403928.32,5717280.69,Organic,mobile,18-24,m
285,335,2025-05-08,1255534.99,1853292.12,Google,Mobile,35-44,F
286,394,2024-02-05,348951.08,902649.74,Organic,Desktop,45-54,
287,303,2025-02-16,1863154.11,2802283.32,Facebook,Mobile,45-54,Male
288,465,2024-06-10,1096687.19,3638369.23,Organic,desktop,45-54,Female
289,359,2024-08-23,608772.99,1982003.4,Facebook,desktop,25-34,F
290,174,2025-10-21,1192210.4,4325124.51,Organic,mobile,55+,f
291,257,2024-09-06,1102086.68,1698181.33,Organic,mobile,35-44,Male
292,406,2025-02-08,1498331.71,2777008.78,Facebook,Mobile,25-34,M
293,42,2024-01-05,1030381.85,3798735.88,Instagram,Mobile,25-34,f
294,90,2024-12-10,1702090.24,3344955.8,Facebook,Tablet,25-34,F
295,245,2025-06-12,1227893.85,2868310.78,Organic,Mobile,45-54,m
296,473,2025-08-08,679388.91,3353723.6,Organic,Tablet,18-24,Male
297,252,2025-07-06,309112.17,881562.21,Instagram,desktop,55+,
298,441,2024-11-01,374860.43,1762903.87,Instagram,Desktop,35-44,m
299,172,2024-11-19,1566511.31,5535395.25,Instagram,Tablet,25-34,Female
300,109,2025-09-03,1410163.76,5459769.27,Email,Mobile,45-54,f
301,126,2024-07-21,68330.84,214381.42,Google,desktop,25-34,f
302,239,2025-07-24,942529.19,1557763.23,Email,Desktop,25-34,f
303,434,2024-06-22,1111655.83,4757978.06,Instagram,desktop,18-24,M
304,139,2024-06-02,1389260.49,6699756.23,Google,Desktop,35-44,F
305,183,2023-12-02,213969.74,388481.35,Facebook,desktop,35-44,m
306,224,2025-08-21,1459903.78,879432.94,Direct,desktop,35-44,Female
307,429,2025-03-11,1159445.31,5551124.07,Organic,desktop,18-24,F
308,228,2025-10-29,639859.07,2809749.0,Referral,Desktop,35-44,F
309,275,2025-08-13,1136021.08,4462339.76,Instagram,desktop,25-34,M
310,164,2023-11-13,1271241.17,3174298.68,Referral,Mobile,45-54,
311,413,2025-08-07,1125686.59,3860844.53,Email,Tablet,45-54,m
312,285,2025-10-29,402672.39,961915.23,Google,mobile,45-54,F
313,152,2024-12-11,1461648.81,1254253.6,Facebook,Mobile,55+,Female
314,15,2025-01-19,327732.33,1111187.53,Direct,desktop,35-44,f
315,132,2024-02-14,1445131.13,5570434.37,Facebook,Tablet,25-34,m
316,283,2024-05-16,542426.47,1519655.99,Referral,desktop,35-44,m
317,95,2023-12-31,1285452.71,3896004.1,Direct,Desktop,35-44,Female
318,146,2025-01-23,1881806.62,997125.38,Email,mobile,25-34,M
319,267,2025-09-28,1101636.08,1501998.2,Facebook,desktop,18-24,F
320,470,2024-07-09,1692063.07,2918950.78,Email,mobile,18-24,Female
321,212,2024-03-26,840263.35,2114239.12,Facebook,Desktop,35-44,Female
322,484,2024-01-02,1151297.56,1708599.09,Referral,Desktop,55+,M
323,192,2025-10-06,1649152.62,7891001.3,Email,mobile,35-44,Male
324,262,2024-12-19,1368825.39,735138.44,Referral,Desktop,45-54,M
325,210,2025-10-15,336360.71,754206.2,Direct,mobile,55+,Female
326,138,2025-02-17,1012365.29,3249137.99,Facebook,mobile,25-34,Female
327,209,2024-11-21,1668172.82,4383797.86,Google,Desktop,18-24,M
328,497,2024-05-11,1154092.03,1772397.73,Organic,Tablet,25-34,F
329,155,2024-04-26,1309631.86,5412172.15,Google,Tablet,35-44,m
330,239,2025-05-28,643701.92,2624738.26,Email,Desktop,35-44,f
331,137,2024-02-24,593722.36,2685103.59,Facebook,Tablet,18-24,f
332,227,2024-07-24,722694.16,3367716.15,Instagram,mobile,45-54,f
333,420,2025-06-12,318742.6,1031877.69,Instagram,Desktop,45-54,M
334,6,2024-07-03,295506.59,1359244.59,Direct,mobile,45-54,M
335,244,2025-07-18,266188.58,596278.97,Referral,Desktop,55+,m
336,153,2023-11-14,85681.43,423918.08,Facebook,Tablet,25-34,f
337,328,2025-07-08,1351651.72,4831250.14,Email,Desktop,35-44,f
338,230,2023-11-22,1522005.83,4442224.6,Instagram,Mobile,25-34,M
339,368,2025-07-17,716628.42,2811545.36,Google,Mobile,45-54,F
340,380,2024-07-24,636903.12,2804311.92,Facebook,Tablet,18-24,F
341,198,2025-11-08,978754.38,2683582.49,Instagram,desktop,18-24,Male
342,154,2025-02-03,1305907.51,1639778.22,Facebook,desktop,25-34,f
343,256,2023-12-26,221039.47,481373.58,Google,Mobile,25-34,Male
344,327,2024-04-29,915148.07,3901721.83,Direct,Mobile,45-54,
345,391,2024-08-30,512337.03,1397105.62,Referral,Mobile,25-34,f
346,286,2024-12-12,512318.57,2344942.53,Email,desktop,45-54,
347,245,2024-12-17,1137643.98,3750339.55,Email,desktop,35-44,M
348,16,2024-03-29,455809.98,1380194.75,Instagram,Mobile,18-24,Male
349,309,2024-12-04,1366764.9,5981900.8,Referral,Desktop,25-34,F
350,276,2024-11-14,909157.98,2960762.79,Facebook,Tablet,35-44,m
351,64,2025-01-14,468599.48,533371.43,Referral,Desktop,25-34,M
352,376,2024-10-26,413226.76,2012486.83,Organic,mobile,45-54,Male
353,437,2025-06-12,1110450.58,5140110.78,Direct,Tablet,25-34,f
354,291,2025-01-13,95125.89,234274.04,Facebook,mobile,35-44,Female
355,248,2025-07-20,1035964.94,1114812.84,Direct,Desktop,45-54,Male
356,28,2024-03-15,112061.23,359519.41,Instagram,desktop,55+,Male
357,233,2025-04-04,540982.22,2507090.01,Instagram,desktop,35-44,f
358,79,2024-10-21,1030254.57,2494729.22,Organic,desktop,25-34,m
359,460,2024-07-24,1094744.18,4935013.13,Direct,Desktop,55+,Male
360,60,2024-09-16,132797.12,206640.18,Direct,Mobile,45-54,M
361,339,2025-04-17,891989.35,1832843.27,Google,Desktop,25-34,f
362,350,2025-08-18,605965.62,2613090.27,Facebook,Tablet,55+,m
363,405,2024-01-19,1284363.92,6389239.98,Google,Mobile,18-24,f
364,187,2024-01-14,1814651.88,6718132.13,Direct,Tablet,25-34,F
365,341,2023-11-15,953691.99,3540378.21,Referral,Tablet,35-44,m
366,33,2024-07-07,1046291.15,4134043.78,Google,Desktop,45-54,M
367,269,2024-03-03,1746101.31,8301340.43,Referral,desktop,35-44,Male
368,246,2024-07-21,62013.23,292199.82,Google,desktop,55+,F
369,116,2025-01-07,733227.89,2801208.6,Email,mobile,45-54,Male
370,12,2023-12-02,1129707.84,5410574.31,Instagram,Tablet,35-44,F
371,47,2025-03-27,199517.56,675877.8,Instagram,Mobile,25-34,M
372,393,2025-07-06,1226833.29,4476298.56,Email,Desktop,45-54,f
373,342,2024-11-08,1450272.5,3784277.89,Referral,Mobile,18-24,
374,357,2024-08-11,1164066.71,2068581.8,Google,Desktop,25-34,f
375,424,2025-09-16,292483.37,838661.17,Email,Mobile,25-34,f
376,361,2024-10-02,1361235.1,1644493.38,Facebook,Tablet,55+,f
