conversion_id,campaign_id,customer_id,conversion_date,conversion_type,conversion_value,attribution_model,time_to_convert_days
111,70,27595,2025-04-01,Add to Cart,1486305.71,Time Decay,83
112,285,37784,2024-11-21,Sign Up,,First Click,90
113,138,59789,2024-02-14,Contact,1645166.71,Linear,23
114,417,1900,2023-11-25,Contact,1861377.82,Time Decay,29
115,53,15849,2025-07-22,Purchase,2885040.66,First Click,19
116,13,27411,2023-12-04,Contact,869339.34,Time Decay,56
117,116,6251,2025-11-03,Download,1388104.8,First Click,89
118,87,22400,2025-01-25,Add to Cart,924929.22,Linear,66
119,249,29449,2025-07-15,Download,1243818.73,Time Decay,18
120,76,8747,2024-09-18,Download,2600887.05,Last Click,63
121,421,44817,2025-03-28,Add to Cart,1730022.83,Time Decay,85
122,63,53038,2024-12-16,Contact,99684.52,Time Decay,86
123,16,52568,2024-11-27,Sign Up,1525903.89,First Click,87
124,278,35876,2025-06-21,Add to Cart,1227309.92,Linear,20
125,490,13524,2025-10-09,Add to Cart,2861203.24,Last Click,41
126,156,5937,2023-12-31,Contact,232393.56,Time Decay,18
127,18,1072,2025-04-17,Purchase,2988215.31,Linear,70
128,425,40267,2024-01-16,Sign Up,829838.71,Time Decay,33
129,448,25881,2025-08-02,Purchase,1498195.57,Last Click,90
130,258,18682,2024-01-26,Sign Up,804827.12,First Click,4
131,394,50673,2024-11-14,Contact,818265.51,Linear,58
132,163,31216,2025-02-09,Add to Cart,2761134.54,First Click,62
133,337,25087,2025-06-05,Purchase,1282931.84,Linear,7
134,214,46157,2024-05-14,Download,72763.4,Time Decay,0
135,353,12145,2025-07-03,Contact,1317169.84,Linear,85
136,230,16735,2024-02-26,Purchase,1338090.46,Linear,64
137,365,38138,2024-04-02,Download,2079087.14,Linear,12
138,387,49975,2024-08-26,Contact,627810.29,Time Decay,41
139,450,33539,2024-04-07,Download,1377963.93,Linear,24
140,124,3721,2025-09-28,Purchase,1816815.19,Time Decay,82
141,251,38812,2025-06-11,Purchase,1279357.97,Linear,35
142,30,2538,2024-09-11,Contact,2496837.35,Last Click,67
143,107,1813,2025-10-07,Download,1740263.68,Last Click,15
144,15,45099,2025-03-28,Download,,First Click,52
145,300,23580,2025-08-11,Contact,665865.15,Time Decay,87
146,26,49502,2024-06-25,Add to Cart,210411.64,Last Click,80
147,196,11840,2024-01-05,Sign Up,2206985.14,Last Click,18
148,103,12439,2025-05-17,Sign Up,2245594.28,Time Decay,70
149,112,23267,2025-01-12,Contact,612590.34,Last Click,89
150,68,30396,2025-08-20,Download,563518.85,Last Click,22
151,84,2722,2025-06-09,Download,1133761.6,Last Click,60
152,84,56561,2024-12-20,Add to Cart,1040242.49,Last Click,49
153,467,23846,2024-10-17,Purchase,406380.34,Linear,60
154,327,28987,2025-08-16,Download,1578583.88,First Click,67
155,353,47344,2025-02-24,Sign Up,1528368.43,Linear,79
156,445,44655,2024-07-15,Add to Cart,2297780.3,Linear,62
157,242,27195,2024-12-07,Purchase,1117701.55,Last Click,76
158,29,19548,2024-05-05,Contact,101188.52,Time Decay,18
159,184,16745,2025-04-29,Add to Cart,401928.07,Linear,14
160,218,39773,2025-08-28,Sign Up,665197.74,Last Click,32
161,33,29654,2025-08-07,Purchase,2891446.06,Time Decay,64
162,235,39170,2024-05-17,Purchase,2069542.88,Linear,56
163,15,57435,2025-10-14,Add to Cart,1160968.55,Linear,17
164,108,12857,2024-09-15,Add to Cart,1277971.08,Time Decay,20
165,62,59920,2025-09-18,Purchase,2614647.63,First Click,2
166,452,45408,2023-12-05,Purchase,2817859.61,Linear,83
167,255,3561,2025-10-12,Download,1125001.42,Linear,90
168,456,6347,2025-07-09,Contact,1285722.4,Time Decay,86
169,109,12388,2024-01-10,Download,516439.26,Linear,52
170,331,36202,2024-08-07,Purchase,2169642.81,Last Click,56
171,244,15499,2024-07-27,Add to Cart,1840870.92,Last Click,29
172,472,42213,2024-05-24,Contact,1507776.36,First Click,19
173,345,29034,2025-09-29,Contact,232591.66,Last Click,46
174,367,15575,2025-04-15,Add to Cart,687457.41,Linear,27
175,58,49940,2024-04-01,Contact,748036.44,First Click,7
176,271,2369,2025-08-06,Add to Cart,2751767.49,First Click,48
177,249,57516,2024-02-05,Download,1933814.18,First Click,87
178,290,42870,2024-07-09,Download,1494453.54,Time Decay,62
179,479,2829,2023-12-11,Add to Cart,2559400.27,First Click,46
180,452,27390,2024-10-01,Contact,1322111.99,Time Decay,8
181,66,55353,2024-03-18,Purchase,79677.49,Linear,8
182,128,35570,2025-02-12,Purchase,2660981.23,First Click,49
183,88,33296,2024-05-30,Contact,1688122.03,Last Click,72
184,171,11418,2024-11-10,Sign Up,230176.77,Linear,19
185,83,25556,2023-12-31,Contact,915671.54,First Click,78
186,446,20827,2025-06-25,Sign Up,2224036.93,Last Click,80
187,224,27841,2024-08-16,Contact,,Last Click,2
188,10,33415,2024-07-16,Purchase,2514618.97,First Click,18
189,442,44826,2025-04-25,Add to Cart,102780.5,Last Click,77
190,76,2802,2024-03-09,Sign Up,2314680.68,Time Decay,30
191,120,3342,2025-07-03,Add to Cart,553130.32,Time Decay,51
192,259,2958,2024-05-02,Sign Up,1851365.7,Time Decay,46
193,185,10829,2025-11-05,Sign Up,1321088.04,First Click,55
194,103,31601,2024-11-20,Contact,1920170.1,Last Click,55
195,45,27763,2024-11-25,Sign Up,229255.64,Last Click,70
196,294,17127,2025-07-26,Download,903362.67,Time Decay,2
197,487,20770,2025-04-17,Download,2188302.68,Linear,44
198,63,30771,2024-09-02,Add to Cart,929395.43,Linear,15
199,173,28547,2025-09-04,Sign Up,2938725.21,Linear,19
200,352,26609,2024-01-03,Add to Cart,1350525.1,Linear,45
201,266,46962,2024-09-13,Add to Cart,1098704.56,Time Decay,79
202,285,6923,2025-03-31,Download,2984536.7,Linear,32
203,469,1909,2024-05-08,Download,1500486.09,First Click,77
204,41,3476,2024-07-03,Download,1271306.69,Linear,8
205,325,4419,2024-06-10,Contact,2874617.66,Last Click,34
206,448,2974,2024-02-22,Contact,2134281.03,Last Click,12
207,356,31220,2024-06-06,Purchase,179042.4,Last Click,90
208,21,37223,2024-11-23,Purchase,1639936.64,Linear,10
209,453,32515,2025-09-15,Add to Cart,1866147.73,Last Click,72
210,486,7878,2024-09-07,Contact,1518179.97,First Click,61
211,379,52105,2024-12-08,Download,2612763.79,Linear,84
212,195,50490,2025-08-18,Download,2922138.66,Linear,16
213,50,10489,2024-04-13,Download,747440.64,Last Click,67
214,442,44786,2025-01-01,Purchase,1901438.22,Last Click,1
215,275,33219,2025-05-18,Download,1919935.92,Time Decay,65
216,54,29394,2025-06-26,Sign Up,1217811.04,Time Decay,23
217,499,30262,2025-05-31,Add to Cart,784093.2,Linear,13
218,457,43990,2025-03-29,Download,1557719.82,First Click,63
219,36,14826,2024-11-24,Download,389619.05,Linear,55
220,437,12416,2024-10-08,Purchase,2122264.93,First Click,70
221,267,38868,2024-05-10,Sign Up,1477602.72,Last Click,22
222,449,41920,2024-03-25,Purchase,1575321.87,First Click,64
223,432,16198,2025-08-21,Sign Up,1421154.3,Last Click,48
224,420,6734,2024-04-20,Contact,2925777.83,Time Decay,29
225,110,21692,2024-05-28,Add to Cart,663661.28,First Click,71
226,92,2965,2025-04-07,Download,2597250.57,Linear,1
227,398,7594,2024-12-11,Sign Up,235628.92,Last Click,1
228,284,37491,2025-07-23,Contact,780762.45,Time Decay,7
229,417,57614,2024-03-29,Sign Up,223957.16,Linear,46
230,415,30910,2025-04-16,Sign Up,,Linear,89
231,400,20757,2024-04-30,Purchase,1095836.8,Linear,52
232,380,27045,2024-07-06,Add to Cart,1883572.33,Linear,6
233,280,28639,2025-01-25,Add to Cart,1507114.6,Linear,80
234,128,20021,2024-10-05,Download,2529333.67,First Click,40
235,54,48660,2024-11-09,Sign Up,115114.69,Last Click,42
236,287,7238,2024-05-05,Download,1954637.46,Last Click,22
237,57,9482,2025-05-22,Purchase,204236.69,Last Click,90
238,117,45308,2025-02-21,Add to Cart,,First Click,19
239,472,37774,2024-05-19,Add to Cart,2572007.74,Last Click,90
240,439,19226,2024-02-17,Contact,480540.14,Last Click,78
241,28,57983,2024-06-08,Download,584754.3,Linear,26
242,2,602,2024-01-06,Add to Cart,1620503.03,First Click,43
243,235,24731,2024-06-18,Add to Cart,236534.45,Time Decay,17
244,432,114,2025-05-28,Purchase,88013.48,Time Decay,44
245,423,29750,2024-01-24,Contact,,Time Decay,61
246,165,14570,2024-08-04,Add to Cart,2946965.96,Last Click,13
247,177,41042,2025-09-24,Purchase,1805057.23,Linear,6
248,321,32903,2025-02-11,Add to Cart,675084.42,Linear,9
249,91,28063,2024-07-25,Contact,2402094.32,First Click,56
250,377,23369,2024-01-16,Add to Cart,2075143.97,Time Decay,54
251,144,37426,2024-06-13,Download,2013819.16,Last Click,66
252,320,36932,2025-06-06,Sign Up,1619122.49,Time Decay,16
253,487,46979,2024-07-16,Purchase,56557.79,Last Click,44
254,189,18346,2024-11-16,Purchase,357492.12,Time Decay,2
255,191,38063,2025-09-29,Add to Cart,1289773.08,Last Click,30
256,477,38126,2024-04-22,Contact,2484314.12,Linear,57
257,342,56685,2025-02-04,Sign Up,,Time Decay,4
258,116,42775,2024-06-17,Download,1270628.61,First Click,1
259,385,43258,2024-05-27,Download,2305158.2,First Click,52
260,184,19893,2025-02-21,Download,1096420.68,Time Decay,45
261,196,1067,2024-08-18,Purchase,680506.49,Time Decay,52
262,26,59318,2024-04-22,Purchase,2832396.1,Time Decay,19
263,186,15770,2024-01-10,Contact,187605.64,Time Decay,84
264,100,57156,2023-12-26,Contact,2604236.61,First Click,32
265,236,52149,2025-09-26,Download,1785619.67,Last Click,16
266,30,21933,2024-07-25,Sign Up,734353.02,Time Decay,26
267,490,27586,2024-09-01,Add to Cart,2834211.25,First Click,11
268,140,23968,2025-08-27,Contact,2162084.05,Time Decay,51
269,413,44364,2025-09-30,Sign Up,1324593.1,Time Decay,31
270,120,57474,2023-12-28,Contact,1852181.94,Linear,60
271,235,3925,2025-10-23,Purchase,2346782.64,Time Decay,16
272,143,11736,2025-01-29,Sign Up,380627.41,Last Click,36
273,261,57282,2024-05-26,Contact,720468.47,Last Click,78
274,273,22943,2024-11-27,Purchase,393319.42,Time Decay,23
275,78,48328,2024-11-29,Contact,2748799.18,Last Click,82
276,279,54681,2024-11-25,Purchase,1356094.81,Time Decay,46
277,490,36516,2025-10-03,Add to Cart,258585.31,Linear,1
278,481,48200,2024-07-29,Download,2019743.59,Linear,28
279,38,10162,2023-12-08,Purchase,2862073.4,First Click,31
280,27,5187,2023-12-05,Contact,1094334.84,Linear,90
281,292,1950,2023-11-26,Purchase,1054119.82,Last Click,66
282,389,2523,2025-08-29,Contact,856144.46,Time Decay,13
283,11,18009,2024-03-13,Purchase,461229.9,Linear,24
284,278,25842,2025-06-13,Purchase,2365314.27,Time Decay,20
285,471,5692,2024-02-22,Add to Cart,2200094.27,Last Click,1
286,345,26496,2023-12-05,Add to Cart,1984209.02,Linear,58
287,298,58831,2025-03-12,Purchase,107141.03,First Click,62
288,160,29481,2025-07-10,Add to Cart,1447864.67,Linear,80
289,275,40154,2023-11-11,Add to Cart,1898082.76,First Click,35
290,220,46058,2025-06-02,Sign Up,2649751.05,Time Decay,56
291,441,14533,2023-12-12,Download,2269740.79,Time Decay,11
292,157,36000,2023-11-14,Contact,2793203.29,Time Decay,73
293,304,38687,2023-11-25,Add to Cart,2469885.07,Last Click,8
294,40,21626,2024-11-02,Contact,2683521.33,Time Decay,32
295,417,59876,2025-02-03,Contact,241614.99,Linear,59
296,44,2116,2025-09-20,Purchase,2223788.84,First Click,11
297,373,9225,2024-03-30,Contact,1523618.33,Last Click,69
298,255,30920,2025-09-20,Purchase,2719700.79,Time Decay,72
299,9,14815,2024-09-08,Contact,2689052.32,Linear,25
300,214,14745,2025-05-09,Purchase,2997315.4,First Click,67
301,441,2910,2025-07-12,Contact,2697396.75,First Click,68
302,15,58240,2024-09-11,Download,2822430.55,Linear,31
303,132,56737,2024-07-24,Add to Cart,909931.95,First Click,90
304,49,6413,2024-11-05,Contact,1157161.18,First Click,79
305,123,28608,2025-09-09,Add to Cart,1909107.73,Time Decay,46
306,314,27209,2024-09-14,Purchase,1562957.18,Time Decay,30
307,362,32358,2024-01-31,Sign Up,1900613.12,Time Decay,20
308,79,12067,2024-10-23,Download,2038771.45,First Click,67
309,46,31252,2024-07-21,Contact,318470.15,First Click,77
310,396,11345,2024-03-10,Sign Up,977426.23,First Click,69
311,308,42845,2025-06-26,Add to Cart,1626232.58,Time Decay,10
312,360,23978,2025-06-04,Purchase,2577256.89,Last Click,24
313,319,33807,2025-07-12,Add to Cart,1185865.22,Time Decay,39
314,178,41084,2024-06-15,Sign Up,2929746.52,Time Decay,6
315,71,2605,2025-11-06,Purchase,2841596.55,Linear,65
316,121,59467,2025-03-18,Add to Cart,1551621.44,Linear,75
317,102,17378,2024-03-22,Download,2570033.81,Time Decay,49
318,86,14286,2024-04-25,Download,2730859.98,Time Decay,67
319,276,47564,2025-01-19,Download,674661.25,Time Decay,76
320,417,25660,2025-04-06,Purchase,,Time Decay,13
321,107,12650,2024-06-16,Add to Cart,2227918.86,Time Decay,71
322,113,8424,2025-09-20,Add to Cart,2732670.65,First Click,42
323,81,49595,2025-06-16,Purchase,838085.27,Linear,67
324,318,24235,2025-09-30,Sign Up,,Linear,86
325,168,27755,2024-10-31,Download,748719.56,Time Decay,50
326,483,9080,2024-03-20,Contact,795612.18,First Click,61
327,304,41817,2024-07-16,Download,2169584.66,Last Click,37
328,172,25535,2025-05-08,Add to Cart,489147.94,Time Decay,69
329,153,33664,2024-04-30,Contact,2030543.48,First Click,27
330,326,54140,2024-08-19,Download,589212.96,First Click,2
331,218,36956,2024-07-31,Download,1855523.85,Linear,39
332,206,41251,2024-07-09,Contact,2976041.77,Last Click,26
333,273,13757,2024-05-30,Contact,1328059.01,First Click,7
334,101,32231,2025-08-23,Sign Up,691616.79,First Click,15
335,61,16336,2025-04-16,Sign Up,101585.63,First Click,4
336,440,51551,2024-08-14,Download,1078792.9,Last Click,53
337,34,13754,2025-08-29,Contact,1117027.15,Linear,26
338,59,29170,2024-06-19,Purchase,226833.88,Time Decay,54
339,39,15530,2024-04-30,Sign Up,2115300.94,First Click,45
340,350,50701,2025-10-15,Purchase,1913324.06,Last Click,51
341,495,48887,2024-02-12,Purchase,2261591.05,Last Click,86
342,91,34755,2024-11-18,Contact,2525209.49,Last Click,10
343,4,28994,2024-11-04,Contact,2187915.63,Last Click,26
344,198,46327,2024-12-13,Sign Up,2112123.52,Time Decay,0
345,305,54931,2025-02-14,Sign Up,1082962.19,Time Decay,5
346,56,29081,2025-10-19,Download,50794.07,Last Click,57
347,319,45925,2025-02-07,Download,2985076.65,Last Click,0
348,247,5362,2025-09-25,Purchase,494510.37,Linear,79
349,88,21155,2025-03-17,Add to Cart,1892326.88,Linear,6
350,464,23731,2024-09-25,Purchase,1973157.96,Time Decay,31
351,134,5933,2023-11-15,Purchase,1958200.08,First Click,79
352,449,1869,2024-12-16,Sign Up,488855.44,First Click,52
353,116,21050,2024-11-20,Download,2519493.74,Linear,90
354,10,11072,2024-03-13,Sign Up,2185759.8,First Click,87
355,435,33127,2024-06-24,Contact,2064462.97,Linear,81
356,150,53896,2023-12-04,Contact,1979482.79,Last Click,24
357,220,50471,2024-05-22,Purchase,680544.82,Last Click,79
358,198,44855,2024-01-04,Purchase,1394461.25,Last Click,78
359,115,39165,2025-06-30,Download,1644466.22,Time Decay,9
360,246,27867,2024-11-24,Contact,1685191.99,Linear,81
361,215,8937,2025-10-08,Purchase,1731587.53,Time Decay,44
362,149,41054,2025-01-17,Download,451242.55,Time Decay,32
363,296,8163,2025-05-15,Add to Cart,625971.34,Linear,26
364,195,28355,2024-12-30,Sign Up,562643.54,Last Click,4
365,347,7647,2024-06-12,Purchase,2176252.7,First Click,49
366,401,32948,2025-05-06,Download,1396797.74,Last Click,5
367,491,36570,2024-07-25,Add to Cart,2394966.79,Time Decay,32
368,268,37198,2024-03-07,Contact,2404269.38,Last Click,53
369,386,22015,2023-12-21,Sign Up,792779.71,Time Decay,80
370,261,56309,2025-07-01,Download,1228958.86,Linear,35
371,335,54562,2025-04-06,Contact,2789816.04,Time Decay,67
372,9,46155,2025-09-10,Purchase,2199626.99,Last Click,75
373,353,10149,2024-01-07,Sign Up,1383918.81,Last Click,41
374,326,54766,2025-06-20,Add to Cart,2402817.81,First Click,73
375,285,46410,2024-06-24,Sign Up,2729619.84,Last Click,67
376,164,24839,2025-03-01,Add to Cart,1938939.91,First Click,46
377,145,15161,2024-01-17,Sign Up,2985871.74,Time Decay,1
378,470,7030,2023-12-22,Purchase,2262374.69,Linear,77
379,423,52577,2024-04-02,Purchase,1622794.96,Last Click,81
380,324,51737,2024-07-08,Contact,2502931.33,First Click,56
381,61,34150,2024-09-16,Add to Cart,2295291.82,First Click,52
382,82,13441,2024-11-22,Purchase,2226621.17,Time Decay,56
383,301,33873,2023-12-13,Add to Cart,769815.91,First Click,75
384,339,30722,2023-12-21,Download,483743.02,Linear,74
385,434,23685,2023-12-10,Purchase,2815138.1,Time Decay,5
386,245,45927,2025-03-11,Download,937733.01,Time Decay,56
387,315,42306,2024-01-07,Sign Up,460996.92,Last Click,19
388,465,6419,2024-03-20,Contact,179132.68,Time Decay,24
389,119,32216,2025-03-06,Purchase,1211724.64,Time Decay,56
390,203,25850,2025-04-13,Download,,Last Click,73
391,126,200,2024-04-03,Contact,1100882.65,Last Click,28
392,453,23674,2025-01-31,Purchase,1952614.88,Time Decay,7
393,259,41777,2024-08-07,Contact,2993644.21,Time Decay,58
394,185,14269,2025-03-24,Download,528593.28,First Click,49
395,171,4576,2024-06-15,Download,2424248.4,First Click,82
396,123,40637,2025-01-02,Download,260325.34,Last Click,75
397,240,26409,2025-03-30,Contact,1743614.47,First Click,79
398,414,3274,2024-02-16,Download,871838.37,First Click,79
399,93,34947,2024-09-24,Purchase,913747.44,First Click,28
400,58,14534,2024-08-07,Sign Up,1259852.9,Time Decay,70
401,161,42010,2025-09-18,Contact,1652157.89,Last Click,57
402,339,57272,2024-01-26,Purchase,2780507.79,First Click,8
403,64,29230,2024-01-22,Sign Up,730623.97,First Click,75
404,103,15883,2025-05-27,Purchase,866740.36,Time Decay,83
405,470,41019,2024-11-04,Download,2781153.13,Time Decay,42
406,391,42845,2023-11-23,Contact,1708676.77,Time Decay,57
407,336,31722,2025-01-02,Add to Cart,1958124.14,First Click,14
408,20,28445,2024-07-11,Download,2665571.23,Time Decay,7
409,47,10791,2024-03-07,Sign Up,1325949.19,Linear,6
410,202,12395,2023-11-19,Add to Cart,375255.2,Last Click,65
411,97,20929,2024-02-15,Download,2492315.59,First Click,82
412,11,53824,2024-01-26,Contact,457531.0,First Click,13
413,244,931,2024-07-17,Contact,1009002.09,Last Click,60
414,274,45772,2024-05-16,Sign Up,2233985.01,Time Decay,62
415,469,3946,2023-11-22,Contact,2479520.86,Time Decay,9
416,11,28677,2025-05-12,Download,545383.36,Linear,13
417,207,41793,2024-08-03,Contact,2702258.72,First Click,86
418,281,13418,2024-02-26,Purchase,2599708.15,Linear,77
419,302,23285,2024-03-19,Purchase,1752417.58,Last Click,51
420,73,39033,2025-03-29,Sign Up,2914176.88,Linear,67
421,273,13686,2025-07-02,Add to Cart,2175231.78,First Click,79
422,186,15572,2025-09-11,Sign Up,1728426.97,Time Decay,75
423,99,46295,2025-06-23,Purchase,986821.25,Time Decay,31
424,335,51125,2025-04-05,Sign Up,2973081.92,Last Click,44
425,286,42466,2025-01-07,Contact,2549956.42,First Click,76
426,96,50889,2025-07-29,Add to Cart,1306687.73,Time Decay,62
427,494,57105,2025-08-21,Sign Up,983421.38,First Click,31
428,240,58486,2025-11-05,Download,1438098.3,Last Click,79
429,191,42132,2024-11-19,Purchase,1204630.04,Last Click,48
430,287,15044,2024-02-19,Contact,2362624.5,Time Decay,53
431,252,59467,2024-08-31,Sign Up,1179553.83,Last Click,55
432,315,18792,2024-01-01,Purchase,2974302.16,Time Decay,22
433,191,6535,2025-06-23,Download,855715.91,Time Decay,78
434,466,14226,2024-05-08,Download,1541330.28,Linear,72
435,197,45371,2025-10-08,Download,1984465.78,Linear,66
436,318,5113,2025-02-01,Purchase,982840.16,Linear,16
437,432,38499,2024-02-18,Contact,2101926.33,Linear,28
438,410,55096,2024-11-02,Add to Cart,994493.67,Time Decay,46
439,473,29895,2025-05-21,Download,594301.35,First Click,60
440,224,17645,2024-03-15,Add to Cart,2940971.89,First Click,53
441,406,57358,2025-01-16,Sign Up,2982851.35,First Click,25
442,391,47906,2025-08-03,Contact,2587226.69,Last Click,80
443,472,44028,2023-12-13,Contact,2330176.78,First Click,33
444,394,34461,2024-04-15,Contact,299281.79,Time Decay,77
