campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget_uzs,target_audience,objective,status,impressions,clicks,conversions,cost_uzs,revenue_uzs,amount_spent,total_cost,CTR,CPC,Conversion_Rate,ROAS,Profit
15,Organic optimizing alliance 2020,TikTok,Awareness,2023-11-12,2024-03-04,20900454.6,45-54,Sales,Active,8406464.0,225671,24547,178353211.5,7391925393.95,40948204.13,219301415.63,2.684493741958569,971.7749096250736,10.87733913528987,33.7066925569759,7172623978.32
16,De-engineered user-facing adapter 2023,SMS,Traffic,2024-02-05,2024-06-29,57988980.48,25-34,Leads,Completed,4147459.0,112212,10893,88884455.32,3237110953.91,36290794.46,125175249.78,2.7055601996306655,1115.5246299860978,9.707517912522725,25.860631072031723,3111935704.1299996
17,Fundamental web-enabled standardization 2020,Email,Awareness,2025-07-19,2025-10-20,15079512.28,25-34,Sales,Paused,2785350.0,73347,8428,38792915.11,2405020900.23,34347487.83,73140402.94,2.633313587161398,997.1832922955267,11.490585845365182,32.8822484366532,2331880497.29
18,Cross-group transitional alliance 2023,Google Ads,Traffic,2025-04-18,2025-08-16,30603681.98,45-54,App Downloads,Completed,7135356.0,197972,20370,146407372.05,5785121028.13,47726926.16,194134298.21,2.7745216916997553,980.6149264037339,10.28933384519023,29.799582461580734,5590986729.92
19,Ergonomic systemic orchestration 2025,Twitter,Engagement,2024-05-19,2024-10-05,81708114.59,18-24,Leads,Completed,6533527.0,186434,19929,137976003.5,6085198408.34,38927086.13,176903089.63,2.853497046847744,948.8778314577813,10.689573790188485,34.398485753230425,5908295318.71
20,Inverse hybrid hardware 2025,Google Ads,Awareness,2024-03-25,2024-09-11,70264895.41,25-34,Leads,Cancelled,3200850.0,90246,9023,59213063.27,2693809479.5299997,37418459.410000004,96631522.68,2.8194385866254277,1070.7568499434879,9.998227068235712,27.877129582762358,2597177956.85
21,Ergonomic tertiary support 2024,Twitter,Awareness,2025-03-14,2025-07-23,99805269.02,45-54,Brand Awareness,Active,6301441.0,184040,17927,132561149.67,5153398374.93,38962053.85,171523203.52,2.920601811553897,931.9887172353837,9.740817213649207,30.044905115878983,4981875171.41
22,Face-to-face grid-enabled core 2023,Email,Engagement,2025-10-27,,80630641.74,35-44,Brand Awareness,Completed,9065681.0,251255,26185,202400391.47,7613060164.05,35707487.32,238107878.79,2.7714961512543845,947.6741907225727,10.421683150584068,31.97315520484882,7374952285.26
23,Face-to-face analyzing knowledgebase 2023,LinkedIn,Traffic,2024-01-20,2024-03-20,24426303.48,45-54,Leads,Completed,7931142.0,220555,22110,161128538.66,5861117943.26,35687690.49,196816229.15,2.7808731705976264,892.3680222620209,10.024710389698715,29.779647585835278,5664301714.110001
24,Quality-focused reciprocal migration 2023,Telegram,Traffic,2025-01-07,2025-01-26,94894797.49,35-44,Leads,Paused,1983047.0,47901,5596,43302005.37,2068160057.22,38861742.35,82163747.72,2.41552519935231,1715.2825143525188,11.682428341788272,25.171199155471047,1985996309.5
25,Face-to-face clear-thinking knowledge user 2021,Telegram,Conversion,2024-03-03,2024-07-15,39455505.16,55+,Leads,Cancelled,8378964.0,228828,25466,181749485.58,7799614287.56,38907405.96,220656891.54000002,2.73098201639248,964.2914832974986,11.12888282902442,35.347249900627325,7578957396.02
26,Customer-focused tangible definition 2020,Twitter,Traffic,2024-12-28,,83492628.18,35-44,Brand Awareness,Active,9109724.0,272665,27669,174017224.25,7711830108.3,40371056.22,214388280.47,2.993120318464094,786.2698933489813,10.147617039223956,35.97132311240838,7497441827.83
27,Exclusive homogeneous interface 2024,YouTube,Awareness,2023-11-21,2024-03-19,63525366.56,55+,App Downloads,Completed,6846177.0,200709,20103,147897843.49,6060077291.4,41131235.59,189029079.08,2.9316945793250744,941.8066906815341,10.015993303738249,32.05896849783245,5871048212.32
28,Customizable full-range functionalities 2020,,Engagement,2024-12-08,2025-01-03,29437155.3,25-34,App Downloads,Completed,6641435.0,189054,19375,130340442.39999999,5309400817.57,37755925.04,168096367.44,2.846583607307758,889.144728172903,10.248394638568875,31.58545837978996,5141304450.13
29,Team-oriented dynamic customer loyalty 2025,YouTube,Engagement,2023-12-13,,19435092.59,18-24,Sales,Completed,4858445.0,137493,13839,107717671.62,4303529419.98,42704487.64,150422159.26,2.8299795510703527,1094.0350364018532,10.065239684929415,28.609677198832678,4153107260.7199993
30,Polarized tangible flexibility 2020,Twitter,Traffic,2024-10-28,2025-04-13,36284294.05,35-44,Sales,Completed,5951595.0,167494,18686,115810481.01,5772822204.68,40753458.76,156563939.77,2.8142707963159452,934.7435715309206,11.156220521332108,36.871978395284096,5616258264.91
31,Digitized foreground definition 2020,Instagram,Conversion,2025-04-27,2025-06-24,61787058.63,25-34,Sales,Paused,7873643.0,215720,23046,169210503.02,6881302558.85,37477371.53,206687874.55,2.7397736981470966,958.1303288985723,10.683293157797143,33.29320877594752,6674614684.3
32,Sharable coherent forecast 2020,Instagram,Traffic,2024-06-16,,61962602.32,55+,Leads,Completed,6723096.0,200379,20382,129505968.75,5797840156.43,40785067.85,170291036.6,2.980457217924599,849.8447272418766,10.171724581917267,34.04665490438386,5627549119.83
33,Organic fault-tolerant system engine 2023,Google Ads,Traffic,2025-07-20,2025-12-20,41627889.03,45-54,Brand Awareness,Completed,4978342.0,129704,14063,107301527.11,3688423883.23,37172906.02,144474433.13,2.6053654007699754,1113.87800784864,10.842379571948436,25.529941895747793,3543949450.1
34,Up-sized intermediate model 2024,LinkedIn,Engagement,2024-04-15,2024-08-24,82656130.1,55+,Leads,Completed,7242383.0,202855,19320,149296150.24,5887495399.49,47534877.85,196831028.09,2.8009427283809765,970.3040501343324,9.524044268073254,29.911419234156373,5690664371.4
35,Robust value-added algorithm 2024,Instagram,Awareness,2025-06-17,2025-10-20,11387860.46,18-24,Brand Awareness,Cancelled,4874477.0,140578,13553,90998413.89,4067891292.98,37308555.48,128306969.37,2.8839606792687706,912.7101635391028,9.640911095619515,31.70436736954938,3939584323.61
36,Visionary solution-oriented emulation 2025,Twitter,Engagement,2025-10-31,2025-11-09,24938748.55,35-44,Sales,Completed,6829376.0,183377,22591,135173955.49,6928580496.24,41324607.87,176498563.36,2.685120866093769,962.4901888459295,12.319429372276785,39.2557331025292,6752081932.88
37,Function-based composite matrix 2021,Twitter,Awareness,2024-09-12,2025-01-07,4764995.44,18-24,Leads,Paused,2562863.0,60690,6545,56225644.19,1873916618.73,36466969.14,92692613.33,2.3680547887265138,1527.312791728456,10.784313725490197,20.21646117645392,1781224005.4
38,Mandatory logistical intranet 2020,YouTube,Awareness,2024-11-09,2025-04-13,32758942.01,35-44,App Downloads,Completed,1662903.0,45074,4941,34370344.52,1576720513.35,39945887.29,74316231.81,2.7105609888249647,1648.7605229178685,10.96197364334206,21.216367877492896,1502404281.54
39,Inverse heuristic groupware 2023,Instagram,Awareness,2024-01-23,2024-02-14,2971746.07,35-44,Brand Awareness,Paused,4216981.0,116719,13522,97643140.73,4276174678.84,40000986.8,137644127.53,2.7678331963079748,1179.2778170649167,11.585088974374353,31.066887891079794,4138530551.31
40,Total local Graphic Interface 2024,SMS,Engagement,2025-07-14,2025-08-21,93996023.12,45-54,Brand Awareness,Paused,3376747.0,87426,9233,80607548.33,3103657521.24,38601058.5,119208606.83,2.589059825921219,1363.5372409809438,10.560931530665934,26.035515419335766,2984448914.41
41,Front-line maximized contingency 2022,Facebook Ads,Conversion,2024-06-18,2024-10-09,33730157.14,55+,App Downloads,Completed,4386758.0,117487,13488,74726509.59,4095301489.06,40369436.87,115095946.46000001,2.6782193136708248,979.6483564990169,11.480419110199426,35.58163093505004,3980205542.6
42,Front-line optimizing frame 2020,Twitter,Conversion,2025-10-04,2026-02-01,43030603.43,45-54,Leads,Completed,6796748.0,193145,22001,125230983.95,6728432013.32,34232205.95,159463189.9,2.84172666104437,825.6138647130394,11.390923917264232,42.19426450417445,6568968823.42
43,De-engineered zero tolerance collaboration 2024,Email,Engagement,2024-02-21,2024-03-25,96946401.9,35-44,Brand Awareness,Active,5718178.0,169426,20381,117068904.14,5726001922.76,41740312.46,158809216.6,2.962936795601676,937.3367523284502,12.029440581728897,36.05585396962408,5567192706.16
44,Fundamental modular info-mediaries 2024,LinkedIn,Engagement,2025-11-05,2026-04-30,79894470.03,45-54,App Downloads,Paused,6549156.0,175218,16509,126116308.12,4939379364.75,39406911.910000004,165523220.03,2.6754287117301834,944.6701824584233,9.421977194123892,29.841005774626485,4773856144.72
45,User-friendly multimedia hierarchy 2020,Facebook Ads,Conversion,2024-01-25,2024-04-30,86010856.4,35-44,Leads,Completed,6628825.0,169389,17504,137379027.65,5284331965.71,34989044.29,172368071.94,2.555339747240273,1017.5871629208508,10.33361080117363,30.657255176291788,5111963893.77
46,Integrated motivating system engine 2024,YouTube,Awareness,2024-01-19,2024-07-06,25733171.9,35-44,Brand Awareness,Completed,8694990.0,251528,24677,171211062.45,7331021302.03,42066399.36,213277461.81,2.892792286132589,847.927315487739,9.810836169333037,34.37316460827399,7117743840.219999
47,Business-focused homogeneous orchestration 2025,,Conversion,2025-02-14,,71413987.39,25-34,Sales,Completed,4181902.0,116884,13238,83904971.08,4330995371.34,44212713.29,128117684.37,2.794996152468422,1096.10968455905,11.325758872044078,33.80482087728198,4202877686.9700003
48,Quality-focused secondary benchmark 2025,Google Ads,Conversion,2025-03-18,,80109650.97,35-44,Brand Awareness,Active,1926381.0,59766,5717,35501933.61,1875160476.78,47083807.83,82585741.44,3.1025015300711543,1381.8181146471238,9.565639326707492,22.70562017224653,1792574735.34
49,Polarized asynchronous forecast 2023,Facebook Ads,Conversion,2025-03-12,,30634484.33,55+,Leads,Completed,5503745.0,133595,14811,113086846.45,4577756909.2,41713069.2,154799915.65,2.4273471972266156,1158.7253688386543,11.0864927579625,29.572089170579595,4422956993.55
50,Organized tangible array 2025,Instagram,Traffic,2024-10-26,2025-04-23,36586896.5,18-24,App Downloads,Completed,5993566.0,182290,19715,133943416.53,6023272417.8,36111669.74,170055086.27,3.0414280913900007,932.8821453179002,10.815184595973449,35.419536986013604,5853217331.53
51,Multi-channeled 24hour artificial intelligence 2020,LinkedIn,Engagement,2024-07-09,2024-09-23,7058408.66,25-34,App Downloads,Completed,5568052.0,157315,15268,123382821.55,5039164871.9,41709714.62,165092536.17,2.8253148497894776,1049.4392535358993,9.70536821027874,30.52327493903809,4874072335.73
52,Cross-group next generation Graphic Interface 2025,Telegram,Traffic,2023-11-27,2024-04-30,2920035.16,25-34,Leads,Paused,7554306.0,198710,19664,153149131.63,5670621597.94,37851438.36,191000569.99,2.630420319219264,961.2026067636255,9.895828091188164,29.68902971460708,5479621027.95
53,Expanded fresh-thinking capability 2022,Twitter,Engagement,2024-10-15,2024-10-25,38757452.93,35-44,Leads,Completed,7528337.0,217812,23534,147441148.16,7531297482.89,42456197.02,189897345.18,2.8932286107808407,871.8406018952124,10.804730685178043,39.659835558792196,7341400137.71
54,Sharable tangible artificial intelligence 2023,Twitter,Engagement,2025-08-25,2025-10-29,63314974.19,35-44,Leads,Completed,6145585.0,170292,18293,129545178.89,5662607747.13,46008939.58,175554118.47,2.7709648471219586,1030.9005617997323,10.74213703521011,32.255624627215276,5487053628.66
55,Seamless didactic encryption 2020,Instagram,Engagement,2025-05-30,2025-07-07,38349420.79,18-24,Brand Awareness,Cancelled,5764376.0,156341,19168,118580806.87,5430567563.0199995,40027940.72,158608747.59,2.7121929589603453,1014.5051367843369,12.260379554947198,34.23876454190214,5271958815.429999
56,Customizable bandwidth-monitored framework 2021,YouTube,Awareness,2024-01-02,2024-03-30,91423446.06,18-24,Sales,Completed,6722811.0,190333,19328,157058513.8,5594791857.25,42051529.14,199110042.94,2.831152028519023,1046.1141417410538,10.154833896381604,28.098993775697892,5395681814.31
57,Fundamental even-keeled infrastructure 2020,Google Ads,Awareness,2025-06-11,2025-11-10,43251909.55,35-44,Sales,Cancelled,7314913.0,201337,21297,164229593.51,6424575828.91,35989335.15,200218928.66,2.752418244755611,994.4467666648455,10.577787490625171,32.087754499075544,6224356900.25
58,Pre-emptive object-oriented installation 2021,Email,Awareness,2025-03-10,2025-05-14,33347895.28,45-54,App Downloads,Paused,2726571.0,75929,7260,75007161.34,2356870517.14,35012792.06,110019953.4,2.784779857190588,1448.9846224762607,9.561564092770878,21.42220973836551,2246850563.74
59,Multi-layered optimizing support 2025,SMS,Traffic,2024-09-29,2024-10-29,44098298.76,35-44,Leads,Paused,8432141.0,228558,22773,176837290.09,6994127729.65,38569688.67,215406978.76,2.7105571408258,942.4609016529721,9.963772871656209,32.46936459492637,6778720750.889999
60,Ameliorated multi-state collaboration 2022,LinkedIn,Awareness,2023-12-04,2024-05-24,61504151.26,18-24,Leads,Active,5334986.0,158260,16052,116150918.47,4890054658.54,38256640.95,154407559.42000002,2.966455769518421,975.6575219259447,10.14280298243397,31.669787910051014,4735647099.12
61,Visionary bifurcated archive 2022,LinkedIn,Conversion,2024-01-06,2024-06-13,51700059.9,18-24,Brand Awareness,Cancelled,7805738.0,211889,22951,150440960.95,6960478383.03,39350364.6,189791325.54999998,2.7145287223322123,895.7110824535487,10.83161466616955,36.6743757274422,6770687057.48
62,Decentralized 3rdgeneration product 2021,TikTok,Awareness,2025-10-18,2026-02-05,33149628.94,45-54,App Downloads,Active,7498174.0,209043,21598,145185769.92,6466852416.95,36853540.48,182039310.39999998,2.7879187652887225,870.8223207665408,10.331845601144263,35.52448316102828,6284813106.55
63,Focused modular task-force 2024,LinkedIn,Awareness,2024-05-05,2024-10-29,28949334.5,45-54,Brand Awareness,Active,9373010.0,246171,26095,174454155.08,7786034491.04,37101297.04,211555452.12,2.626381493244966,859.3841359055291,10.600355037758307,36.80375245835569,7574479038.92
64,Customer-focused hybrid array 2022,YouTube,Traffic,2023-11-18,2024-04-08,84931186.39,45-54,Sales,Completed,4626971.0,123394,13319,98561072.92,3857749120.58,33969307.87,132530380.78999999,2.666841871280369,1074.0423423343111,10.793879767249623,29.10841346402503,3725218739.79
65,Streamlined bifurcated Internet solution 2022,SMS,Conversion,2025-03-22,2025-07-25,95230651.76,55+,Sales,Cancelled,1804841.0,51071,5455,34096280.49,1495546105.81,38239136.83,72335417.32,2.829667544121615,1416.3697072702707,10.681208513637877,20.675156945510523,1423210688.49
66,User-centric stable benchmark 2021,Twitter,Engagement,2025-06-25,,57258839.91,18-24,Leads,Completed,399431.0,13828,1296,7840377.43,453628939.86,35660248.9,43500626.33,3.4619245877260405,3145.8364427249057,9.372288111078971,10.428101343155994,410128313.53000003
67,Multi-channeled tangible paradigm 2023,YouTube,Engagement,2024-08-10,2024-09-24,15900181.44,55+,App Downloads,Completed,7985888.0,217336,21607,148726824.76,6619674846.79,36684422.66,185411247.42,2.721500727282927,853.1087690028343,9.941749180991643,35.70266064709053,6434263599.37
68,Quality-focused 3rdgeneration intranet 2020,Twitter,Traffic,2023-12-01,2023-12-31,18412088.16,35-44,Brand Awareness,Completed,8009999.0,228078,23000,175390819.12,6405927538.19,49389831.33,224780650.45,2.847416085819736,985.5428864248195,10.084269416603092,28.498571942761277,6181146887.74
69,Centralized 3rdgeneration interface 2023,Facebook Ads,Engagement,2024-05-13,2024-08-17,8150478.89,18-24,Sales,Paused,1823344.0,53336,5499,33372454.4,1714691524.45,40406199.65,73778654.05,2.925174843584096,1383.2805994075295,10.310109494525275,23.241024745286744,1640912870.4
70,Assimilated heuristic knowledge user 2025,Telegram,Conversion,2023-12-04,2023-12-15,66696867.33,35-44,App Downloads,Cancelled,2334549.0,62942,6315,52851540.71,1801344191.06,40768945.73,93620486.44,2.6961096126061177,1487.4088278097295,10.033046296590511,19.24091894368072,1707723704.62
71,Innovative zero tolerance flexibility 2021,Instagram,Conversion,2024-01-09,2024-06-19,61481644.7,45-54,Leads,Completed,2338047.0,64808,7006,44032626.47,2083496338.24,43562138.8,87594765.27,2.7718861083630912,1351.6042042649055,10.810393778545858,23.7856261366519,1995901572.97
72,User-centric didactic moratorium 2022,Instagram,Engagement,2024-09-10,2024-11-19,80871777.44,55+,Leads,Completed,7493064.0,189747,19037,145246058.81,6105053259.84,36685020.56,181931079.37,2.5323018727719395,958.8087261985697,10.03283319367368,33.55695618901884,5923122180.47
73,Re-contextualized local forecast 2023,Telegram,Engagement,2024-11-07,,31644753.14,45-54,Brand Awareness,Completed,1829548.0,52701,5443,36082496.57,1538877029.54,40903288.17,76985784.74000001,2.8805475450767073,1460.8031107569118,10.328077266086034,19.989106232237127,1461891244.8
74,Customer-focused leadingedge interface 2025,Facebook Ads,Engagement,2024-10-26,2024-12-22,93218819.53,25-34,App Downloads,Completed,6708055.0,197375,22541,133958279.74,7181707025.62,35284837.13,169243116.87,2.942358105292816,857.469876478784,11.420392653578213,42.434263551979214,7012463908.75
75,Synchronized radical success 2020,Telegram,Traffic,2024-05-17,2024-07-07,3420034.25,18-24,Sales,Completed,1557346.0,36165,3563,36359987.83,1016256479.41,34887704.78,71247692.61,2.3222199819436398,1970.0730709249274,9.852066915526061,14.263710755839451,945008786.8
76,Customer-focused foreground Graphic Interface 2025,Facebook Ads,Engagement,2024-01-29,2024-05-09,89389536.83,25-34,Leads,Completed,2972766.0,76307,7615,58830839.48,2274603303.21,45110588.64,103941428.12,2.566868700731911,1362.148008963791,9.979425216559425,21.88351020715223,2170661875.09
77,Versatile neutral matrices 2023,Email,Engagement,2025-06-01,2025-08-05,71718042.44,25-34,Brand Awareness,Completed,5212508.0,146735,15622,104252486.59,4979967313.06,40526513.839999996,144779000.43,2.8150556315692943,986.6698499335537,10.646403380243296,34.39702787192395,4835188312.63
78,Vision-oriented impactful alliance 2021,Facebook Ads,Awareness,2025-02-14,2025-03-22,2064414.31,25-34,Leads,Paused,4556223.0,123300,13282,89634682.1,3842166868.9,35569346.77,125204028.87,2.706188876180995,1015.4422454987834,10.772100567721006,30.687246277748315,3716962840.03
79,Down-sized explicit core 2022,Google Ads,Awareness,2025-07-30,2025-12-12,11791377.03,45-54,App Downloads,Completed,1083150.0,27782,3123,20371394.6,939939477.79,41520876.36,61892270.96,2.5649263721552877,2227.7831315240082,11.241091354114175,15.186702042286798,878047206.8299999
80,Distributed multi-state policy 2020,Email,Conversion,2025-09-13,2025-12-19,36883166.62,45-54,Sales,Completed,5278002.0,140500,12530,113450290.67999999,3986087170.71,30957037.72,144407328.39999998,2.661992170522103,1027.8101665480426,8.91814946619217,27.6030809161483,3841679842.31
81,Future-proofed scalable encryption 2025,Google Ads,Engagement,2024-06-19,2024-11-01,91488737.52,35-44,App Downloads,Completed,1650926.0,43337,4375,30115353.69,1064643298.02,37130065.87,67245419.56,2.6250116601228646,1551.6860779472506,10.095299628492974,15.832205449622744,997397878.46
82,Re-contextualized motivating conglomeration 2023,Twitter,Engagement,2024-06-22,2024-07-04,58691434.75,45-54,Sales,Active,477619.0,15282,1402,7716283.9,386517538.84000003,46067886.05,53784169.949999996,3.1996214555953597,3519.445749901845,9.174191859704226,7.186455404988546,332733368.89000005
83,Decentralized local synergy 2021,SMS,Conversion,2024-05-15,2024-09-29,87794086.01,35-44,Brand Awareness,Paused,5429731.0,147676,14814,122883376.76,4446696785.73,40470368.18,163353744.94,2.7197664120008893,1106.1631202091064,10.031420135973347,27.22127238260302,4283343040.7899995
84,Assimilated systemic website 2025,Instagram,Awareness,2024-05-23,2024-10-01,35359782.14,25-34,Leads,Paused,3228606.0,93368,9104,64771204.61,2571143689.82,36186995.24,100958199.85,2.8918982371958672,1081.2933751392338,9.750664039071202,25.46740823073422,2470185489.9700003
85,Re-engineered leadingedge middleware 2025,Facebook Ads,Awareness,2025-09-23,,15102726.55,35-44,Sales,Paused,4015503.0,118487,11897,89472121.17999999,3123444584.46,35635475.35,125107596.53,2.950738674581989,1055.8761427835966,10.04076396566712,24.966066578627125,2998336987.93
86,Multi-tiered exuding moratorium 2022,Twitter,Conversion,2024-11-30,2025-01-02,83950367.15,55+,App Downloads,Completed,7040530.0,188879,20040,141921402.61,5912851517.68,43468403.52,185389806.13000003,2.6827383733895034,981.5268300340431,10.609967227696037,31.894156648147952,5727461711.55
87,Versatile asymmetric hub 2022,Email,Awareness,2025-03-17,2025-06-29,15645693.65,18-24,Sales,Completed,1420684.0,39375,3747,27866687.53,1113001325.25,38301022.21,66167709.74,2.7715522945285507,1680.4497711746033,9.516190476190477,16.820913548669548,1046833615.51
88,Synchronized mission-critical parallelism 2020,Twitter,Awareness,2025-05-17,2025-06-16,62441044.31,18-24,Sales,Active,6416165.0,181595,17746,113198189.7,5306907883.88,33279356.73,146477546.43,2.830273223958548,806.61662727498,9.77229549271731,36.23018007347708,5160430337.45
89,De-engineered mobile instruction set 2023,Email,Conversion,2024-07-22,2024-12-16,33163559.42,18-24,App Downloads,Paused,5721929.0,153434,15233,108966161.47,4276681996.98,31231107.9,140197269.37,2.681508281560292,913.7301339338087,9.92804723855208,30.504745322059335,4136484727.61
90,Object-based coherent product 2024,Twitter,Conversion,2025-01-18,2025-07-14,54927274.42,45-54,App Downloads,Active,2002183.0,59839,6185,41731936.88,1896135968.75,46204673.94,87936610.82,2.988687847214765,1469.5534821771753,10.33606845034175,21.562531817734662,1808199357.93
91,Intuitive tangible paradigm 2022,Telegram,Conversion,2024-02-28,2024-08-14,40789890.04,45-54,Brand Awareness,Completed,8285599.0,217352,23776,178007523.48,7094172968.73,36091790.59,214099314.07,2.623250292465276,985.0349390389782,10.938937759946999,33.134963554393046,6880073654.66
92,Enterprise-wide secondary Graphical User Interface 2020,LinkedIn,Traffic,2025-04-24,,46202038.15,35-44,Sales,Completed,7776492.0,221343,24551,166003670.15,7454495148.51,38748753.97,204752424.12,2.846309106985515,925.0458524552391,11.091834844562513,36.40735967131269,7249742724.39
93,Triple-buffered scalable access 2024,Twitter,Engagement,2024-07-12,2024-10-11,54884287.85,35-44,Leads,Paused,3157134.0,93312,9928,64751086.94,2817549672.88,40295021.48,105046108.41999999,2.9555920021133093,1125.7513333762001,10.63957475994513,26.822028109930056,2712503564.46
94,Progressive cohesive encoding 2021,Telegram,Awareness,2024-09-19,2024-12-09,96895592.0,18-24,Leads,Completed,4120278.0,108522,11164,81109142.35,3251491860.77,37818376.2,118927518.55,2.6338514051721753,1095.8839548662943,10.287315014467113,27.340113544898312,3132564342.22
95,Managed discrete product 2020,YouTube,Traffic,2024-07-01,2024-12-23,2521219.08,18-24,Leads,Active,2624706.0,71495,8300,50500051.56,2087187341.6299999,32579378.18,83079429.74000001,2.7239241271212853,1162.0313272256803,11.609203440800057,25.12279330951026,2004107911.8899999
96,Configurable executive functionalities 2020,Facebook Ads,Conversion,2025-08-13,2025-12-21,42565900.72,25-34,Sales,Completed,7572597.0,247913,25833,156294087.68,7873564043.77,42160883.19,198454970.87,3.2738174235338287,800.5024781677444,10.420187727146217,39.674310042491506,7675109072.900001
97,Decentralized homogeneous analyzer 2020,Instagram,Conversion,2024-06-09,,28326119.58,18-24,Brand Awareness,Completed,531978.0,14698,916,9129337.15,330532747.77,44510840.89,53640178.04,2.762896209993646,3649.488232412573,6.232140427269016,6.162036739018997,276892569.72999996
98,Extended executive access 2022,Email,Traffic,2025-01-11,2025-02-24,68906092.91,45-54,Brand Awareness,Completed,1667759.0,55469,6081,35332488.27,1599797875.3600001,41834259.8,77166748.07,3.325960165707395,1391.1689064161963,10.962880167300654,20.731700056982852,1522631127.2900002
99,User-centric object-oriented functionalities 2020,Telegram,Traffic,2023-12-04,,73668400.45,35-44,Brand Awareness,Active,4778221.0,122051,12803,93017125.53,3832518475.79,41499852.42,134516977.95,2.554318856327491,1102.1374503281413,10.489877182489288,28.490964740633324,3698001497.84
