performance_id,campaign_id,date,impressions,clicks,conversions,cost_uzs,revenue_uzs,ctr,cpc,roas
70,1,2025-12-19,27826.0,165,29,623387.15,3660328.78,0.59,3778.1,5.87
71,1,2025-12-20,74390.0,1995,235,1804443.37,64661151.63,2.68,904.48,35.83
72,1,2025-12-21,45569.0,1140,202,1416953.86,92530510.58,2.5,1242.94,65.3
73,1,2025-12-22,58407.0,1736,214,1006676.44,37955119.81,2.97,579.88,37.7
74,1,2025-12-23,99086.0,872,166,633736.05,63895388.37,0.88,726.76,100.82
75,1,2025-12-24,20834.0,988,59,426659.98,26466945.04,4.74,431.84,62.03
76,1,2025-12-25,89055.0,3251,397,333947.32,158182989.19,3.65,102.72,473.68
77,1,2025-12-26,90539.0,933,133,94022.35,49631862.18,1.03,100.77,527.87
78,1,2025-12-27,88278.0,2653,388,1547684.69,137558280.48,3.01,583.37,88.88
79,1,2025-12-28,30646.0,764,76,445260.07,10384586.44,2.49,582.8,23.32
80,1,2025-12-29,95351.0,3595,567,315888.49,278643001.49,3.77,87.87,882.09
81,1,2025-12-30,69558.0,1500,151,1777510.41,36712470.9,2.16,1185.01,20.65
82,1,2025-12-31,1124.0,21,3,855822.73,633628.43,1.87,40753.46,0.74
83,1,2026-01-01,69817.0,3039,236,1313915.94,103901699.09,4.35,432.35,79.08
84,1,2026-01-02,29588.0,1061,193,835265.06,41624124.84,3.59,787.24,49.83
85,2,2025-10-12,78131.0,3437,555,1092122.05,236028154.13,4.4,317.75,216.12
86,2,2025-10-13,12529.0,223,33,493772.25,12663237.06,1.78,2214.23,25.65
87,2,2025-10-14,,1544,290,1142124.95,86639141.88,2.66,739.72,75.86
88,2,2025-10-15,32385.0,1606,165,666454.47,20549055.11,4.96,414.98,30.83
89,2,2025-10-16,88990.0,632,27,612113.81,3082950.04,0.71,968.53,5.04
90,2,2025-10-17,18337.0,830,74,316530.29,26561043.1,4.53,381.36,83.91
91,2,2025-10-18,98392.0,2703,59,374751.21,18274122.89,2.75,138.64,48.76
92,2,2025-10-19,62694.0,3020,406,203014.99,195190854.67,4.82,67.22,961.46
93,2,2025-10-20,68382.0,616,46,1561560.73,19308502.34,0.9,2535.0,12.36
94,2,2025-10-21,,2494,374,1014589.87,48532792.3,4.57,406.81,47.83
95,2,2025-10-22,39826.0,1957,89,810988.98,29165426.35,4.91,414.4,35.96
96,2,2025-10-23,7303.0,321,22,639231.31,6019846.89,4.4,1991.37,9.42
97,2,2025-10-24,42526.0,220,26,1987950.32,9344646.06,0.52,9036.14,4.7
98,2,2025-10-25,,803,89,1963146.79,17597456.66,2.52,2444.77,8.96
99,2,2025-10-26,54923.0,2217,389,1837613.67,110547712.51,4.04,828.87,60.16
100,2,2025-10-27,13763.0,186,7,1301302.37,1511931.52,1.35,6996.25,1.16
101,2,2025-10-28,99299.0,4166,696,157323.84,209908403.97,4.2,37.76,1334.24
102,2,2025-10-29,19971.0,157,22,1046390.97,6784738.09,0.79,6664.91,6.48
103,2,2025-10-30,65190.0,3060,311,262342.01,124885307.95,4.69,85.73,476.04
104,2,2025-10-31,49604.0,749,40,1286178.73,12316172.69,1.51,1717.19,9.58
105,2,2025-11-01,92379.0,2559,205,1109484.71,50582968.79,2.77,433.56,45.59
106,2,2025-11-02,63780.0,2546,497,1893870.32,219829439.63,3.99,743.86,116.07
107,2,2025-11-03,77538.0,2800,72,420208.16,34983531.03,3.61,150.07,83.25
108,2,2025-11-04,70759.0,3217,149,1104366.39,34594702.5,4.55,343.29,31.33
109,2,2025-11-05,30010.0,561,41,1427898.11,15556667.76,1.87,2545.27,10.89
110,2,2025-11-06,25143.0,1046,57,1819552.68,7501368.02,4.16,1739.53,4.12
111,2,2025-11-07,23560.0,531,92,99192.38,43968028.39,2.25,186.8,443.26
112,2,2025-11-08,22994.0,1033,46,1165546.23,9752422.97,4.49,1128.31,8.37
113,2,2025-11-09,5696.0,268,37,1109911.5,12238512.03,4.71,4141.46,11.03
114,2,2025-11-10,96039.0,1643,189,1752260.54,40125399.43,1.71,1066.5,22.9
115,2,2025-11-11,92359.0,737,95,1596877.6,14660887.94,0.8,2166.73,9.18
116,2,2025-11-12,37183.0,858,156,1607698.13,56789470.4,2.31,1873.77,35.32
117,2,2025-11-13,40468.0,272,23,1442946.63,7919332.0,0.67,5304.95,5.49
118,2,2025-11-14,5085.0,81,2,856216.22,523723.16,1.59,10570.57,0.61
119,2,2025-11-15,73301.0,1346,138,1143326.72,31171101.68,1.84,849.43,27.26
120,2,2025-11-16,89387.0,2273,144,911926.87,50045920.66,2.54,401.2,54.88
121,2,2025-11-17,30333.0,923,22,583928.65,10867101.78,3.04,632.64,18.61
122,2,2025-11-18,99258.0,4255,292,1102605.17,99165427.56,4.29,259.13,89.94
123,2,2025-11-19,47594.0,1301,148,422750.72,43826977.51,2.73,324.94,103.67
124,2,2025-11-20,85947.0,2561,128,587383.67,62775241.74,2.98,229.36,106.87
125,2,2025-11-21,35002.0,1205,30,392637.3,8709749.18,3.44,325.84,22.18
126,2,2025-11-22,57791.0,2776,134,1277385.18,63231493.71,4.8,460.15,49.5
127,2,2025-11-23,40234.0,309,24,1516663.88,6752102.16,0.77,4908.3,4.45
128,2,2025-11-24,8197.0,104,11,1698628.51,3370131.37,1.27,16332.97,1.98
129,2,2025-11-25,45097.0,2094,107,1801500.53,30878464.14,4.64,860.32,17.14
130,2,2025-11-26,67679.0,2792,455,1737373.26,68875914.98,4.13,622.27,39.64
131,2,2025-11-27,74292.0,2358,251,1045834.23,91157729.79,3.17,443.53,87.16
132,2,2025-11-28,68173.0,508,96,71196.76,33097167.82,0.75,140.15,464.87
133,2,2025-11-29,61833.0,704,66,1655816.09,22818982.98,1.14,2352.01,13.78
134,2,2025-11-30,22012.0,607,27,1832691.13,4850212.4,2.76,3019.26,2.65
135,2,2025-12-01,65559.0,1848,134,886655.04,34026435.73,2.82,479.79,38.38
136,2,2025-12-02,19415.0,476,5,1771439.08,2399223.31,2.45,3721.51,1.35
137,2,2025-12-03,31888.0,1442,95,1232751.01,26976627.63,4.52,854.89,21.88
138,2,2025-12-04,32343.0,179,4,783002.03,1871687.02,0.55,4374.31,2.39
139,2,2025-12-05,58119.0,2467,281,1982095.38,68497008.65,4.24,803.44,34.56
140,2,2025-12-06,77160.0,1201,18,967186.77,8534460.53,1.56,805.32,8.82
141,2,2025-12-07,51939.0,2593,55,1108811.51,14044823.33,4.99,427.62,12.67
142,2,2025-12-08,98158.0,2605,120,1442159.82,34577266.71,2.65,553.61,23.98
143,2,2025-12-09,12748.0,138,21,141439.05,8129246.15,1.08,1024.92,57.48
144,2,2025-12-10,11960.0,301,54,676807.33,17555218.49,2.52,2248.53,25.94
145,2,2025-12-11,48642.0,2212,126,1255957.22,33151811.83,4.55,567.79,26.4
146,2,2025-12-12,72019.0,2017,203,1646454.75,66567313.37,2.8,816.29,40.43
147,2,2025-12-13,68940.0,1111,146,1996328.25,51928699.89,1.61,1796.88,26.01
148,2,2025-12-14,66304.0,1651,17,1283919.83,7740692.31,2.49,777.66,6.03
149,2,2025-12-15,44873.0,634,86,1283256.6,13699190.31,1.41,2024.06,10.68
150,3,2025-04-27,99999.0,4219,807,1772839.49,185065235.17,4.22,420.2,104.39
151,3,2025-04-28,73971.0,1731,259,1147423.25,47358175.51,2.34,662.87,41.27
152,3,2025-04-29,79062.0,2482,431,1297375.01,184720672.48,3.14,522.71,142.38
153,3,2025-04-30,90325.0,4342,475,485827.58,198195969.76,4.81,111.89,407.96
154,3,2025-05-01,47980.0,1559,50,308032.0,22399849.65,3.25,197.58,72.72
155,3,2025-05-02,91437.0,3865,744,1668343.5,315688421.95,4.23,431.65,189.22
156,3,2025-05-03,99878.0,2647,111,1615080.91,35913495.21,2.65,610.16,22.24
157,3,2025-05-04,33046.0,1491,280,1409964.66,68198934.09,4.51,945.65,48.37
158,3,2025-05-05,91138.0,3910,665,496981.12,79047764.38,4.29,127.11,159.06
159,3,2025-05-06,70865.0,1139,193,960230.17,51618974.08,1.61,843.05,53.76
160,3,2025-05-07,69616.0,2969,369,870939.5,109972294.01,4.26,293.34,126.27
161,3,2025-05-08,16159.0,482,47,1702791.79,12791549.71,2.98,3532.76,7.51
162,3,2025-05-09,6491.0,69,13,686059.13,2544013.62,1.06,9942.89,3.71
163,3,2025-05-10,5757.0,64,8,947772.19,957471.4,1.11,14808.94,1.01
164,3,2025-05-11,66894.0,1856,120,1509901.1,35677617.25,2.77,813.52,23.63
165,3,2025-05-12,1455.0,30,4,105733.58,830306.32,2.06,3524.45,7.85
166,3,2025-05-13,35728.0,1106,156,1374727.93,21965923.26,3.1,1242.97,15.98
167,3,2025-05-14,9694.0,354,46,356907.16,14141286.94,3.65,1008.21,39.62
168,3,2025-05-15,44269.0,576,50,278179.07,24984826.68,1.3,482.95,89.82
169,3,2025-05-16,23921.0,555,21,1253309.89,9674878.96,2.32,2258.22,7.72
170,3,2025-05-17,29488.0,296,37,631634.03,13565322.83,1.0,2133.9,21.48
171,3,2025-05-18,92562.0,3631,630,1046065.46,292738234.43,3.92,288.09,279.85
172,3,2025-05-19,20710.0,387,57,851726.4,22238163.07,1.87,2200.84,26.11
173,3,2025-05-20,99678.0,3167,277,842850.29,85659964.97,3.18,266.14,101.63
174,3,2025-05-21,3001.0,17,2,1526258.83,647213.96,0.57,89779.93,0.42
175,3,2025-05-22,36168.0,1245,163,855836.35,37212346.91,3.44,687.42,43.48
176,3,2025-05-23,11270.0,357,69,97624.5,20371351.98,3.17,273.46,208.67
177,3,2025-05-24,40841.0,1172,30,1337900.22,10213576.45,2.87,1141.55,7.63
178,3,2025-05-25,71835.0,2969,440,585264.21,140788313.07,4.13,197.13,240.56
179,3,2025-05-26,21238.0,237,14,1580297.83,5374728.45,1.12,6667.92,3.4
180,3,2025-05-27,40188.0,1900,246,1686051.09,43091505.29,4.73,887.4,25.56
181,3,2025-05-28,94775.0,1255,37,1828988.51,11324887.8,1.32,1457.36,6.19
182,3,2025-05-29,92055.0,4393,321,1139058.04,117313056.89,4.77,259.29,102.99
183,3,2025-05-30,46269.0,1174,201,620019.64,20951261.23,2.54,528.13,33.79
184,3,2025-05-31,44157.0,1336,149,484584.82,70252653.33,3.03,362.71,144.97
185,3,2025-06-01,12005.0,252,28,231311.74,10292009.57,2.1,917.9,44.49
186,3,2025-06-02,78014.0,1046,200,1186222.43,30156643.61,1.34,1134.06,25.42
187,3,2025-06-03,69543.0,2226,192,1090297.59,33555872.31,3.2,489.8,30.78
188,3,2025-06-04,10276.0,455,13,1824800.35,1665910.54,4.43,4010.55,0.91
189,3,2025-06-05,60311.0,2340,376,1255047.36,39808740.21,3.88,536.35,31.72
190,3,2025-06-06,25024.0,1101,24,1394330.36,10167390.93,4.4,1266.42,7.29
191,3,2025-06-07,55895.0,1553,243,392248.72,39455684.2,2.78,252.57,100.59
192,3,2025-06-08,67836.0,2779,211,153556.09,78828740.0,4.1,55.26,513.35
193,3,2025-06-09,57930.0,534,70,570059.43,19113237.35,0.92,1067.53,33.53
194,3,2025-06-10,95108.0,3646,314,1251193.06,136547177.82,3.83,343.17,109.13
195,3,2025-06-11,71273.0,810,53,856766.9,15201386.41,1.14,1057.74,17.74
196,3,2025-06-12,19096.0,742,44,115514.96,20852075.88,3.89,155.68,180.51
197,3,2025-06-13,22420.0,264,21,1012900.0,5045028.49,1.18,3836.74,4.98
198,3,2025-06-14,83909.0,2316,29,1452131.97,11533388.55,2.76,627.0,7.94
199,3,2025-06-15,5563.0,35,3,1429040.17,922147.1,0.63,40829.72,0.65
200,3,2025-06-16,5466.0,262,32,1069690.98,5990636.75,4.79,4082.79,5.6
201,3,2025-06-17,2207.0,29,5,1695151.83,2392684.81,1.31,58453.51,1.41
202,3,2025-06-18,57530.0,1171,74,1841593.5,35040254.12,2.04,1572.67,19.03
203,3,2025-06-19,73406.0,2125,231,1082251.41,100144107.4,2.89,509.29,92.53
204,3,2025-06-20,48474.0,339,44,977471.82,15091502.31,0.7,2883.4,15.44
205,3,2025-06-21,12063.0,507,8,993382.73,1990135.36,4.2,1959.33,2.0
206,3,2025-06-22,79687.0,2082,139,1586899.16,27923614.12,2.61,762.2,17.6
207,3,2025-06-23,18988.0,578,31,85385.46,9631937.3,3.04,147.73,112.81
208,3,2025-06-24,74470.0,2243,283,397861.92,59408693.73,3.01,177.38,149.32
209,3,2025-06-25,39070.0,1935,131,1985443.93,57238995.48,4.95,1026.07,28.83
210,3,2025-06-26,42948.0,681,19,154114.03,4924701.42,1.59,226.31,31.95
211,3,2025-06-27,47633.0,1409,174,1558933.48,47554323.63,2.96,1106.41,30.5
212,3,2025-06-28,17101.0,198,9,1857917.96,3275685.87,1.16,9383.42,1.76
213,3,2025-06-29,47172.0,2279,163,986082.24,25399621.08,4.83,432.68,25.76
214,3,2025-06-30,85486.0,3422,670,1258820.9,116063434.13,4.0,367.86,92.2
215,3,2025-07-01,24559.0,630,58,87237.8,25420623.3,2.57,138.47,291.39
216,3,2025-07-02,16903.0,294,9,1039129.59,4455806.09,1.74,3534.45,4.29
217,3,2025-07-03,34373.0,1378,186,1071537.88,27003235.4,4.01,777.6,25.2
218,3,2025-07-04,17291.0,816,45,1598068.63,11747053.99,4.72,1958.42,7.35
219,3,2025-07-05,42382.0,1811,141,919045.49,47180026.78,4.27,507.48,51.34
220,3,2025-07-06,54865.0,1948,116,346654.63,18107112.37,3.55,177.95,52.23
221,3,2025-07-07,9609.0,107,20,660636.96,5453318.37,1.11,6174.18,8.25
222,3,2025-07-08,19334.0,219,16,1019422.75,1780008.43,1.13,4654.9,1.75
223,3,2025-07-09,53578.0,1702,243,1441676.3,38346367.82,3.18,847.05,26.6
224,3,2025-07-10,79804.0,3970,367,611726.94,87769084.01,4.97,154.09,143.48
225,3,2025-07-11,99488.0,1196,140,1519468.62,54380543.45,1.2,1270.46,35.79
226,3,2025-07-12,20625.0,360,69,362559.64,19211264.29,1.75,1007.11,52.99
227,3,2025-07-13,82448.0,3559,485,1877867.11,71765689.72,4.32,527.64,38.22
228,3,2025-07-14,25987.0,392,6,226304.09,807755.97,1.51,577.31,3.57
229,3,2025-07-15,62153.0,2324,43,1343351.65,16655245.25,3.74,578.03,12.4
230,3,2025-07-16,95647.0,4230,241,1612728.51,73757811.14,4.42,381.26,45.73
231,3,2025-07-17,48140.0,1597,92,90437.04,10350885.05,3.32,56.63,114.45
232,3,2025-07-18,56933.0,946,185,1782827.25,45745214.89,1.66,1884.6,25.66
233,3,2025-07-19,72804.0,3424,172,1016929.73,79950922.32,4.7,297.0,78.62
234,3,2025-07-20,26052.0,1046,165,1376412.68,53215428.04,4.02,1315.88,38.66
235,3,2025-07-21,23016.0,1010,107,1279271.12,20994754.49,4.39,1266.61,16.41
236,3,2025-07-22,19878.0,960,116,1164543.8,19918563.01,4.83,1213.07,17.1
237,3,2025-07-23,31982.0,1454,80,1346155.9,31095322.88,4.55,925.83,23.1
238,3,2025-07-24,86218.0,2142,295,1769629.84,131416417.4,2.48,826.16,74.26
239,3,2025-07-25,45642.0,1158,71,382638.42,14012938.65,2.54,330.43,36.62
240,3,2025-07-26,60475.0,2871,503,332227.57,126690948.51,4.75,115.72,381.34
241,3,2025-07-27,93780.0,3175,281,972076.16,131223730.19,3.39,306.17,134.99
242,3,2025-07-28,95263.0,4248,845,53382.1,344787831.13,4.46,12.57,6458.87
243,3,2025-07-29,95499.0,3891,59,693455.72,28494831.38,4.07,178.22,41.09
244,3,2025-07-30,22156.0,823,136,1566968.49,49748125.98,3.71,1903.97,31.75
245,3,2025-07-31,79415.0,1938,31,1344543.46,3649126.17,2.44,693.78,2.71
246,4,2024-06-15,18710.0,145,20,633289.64,7357740.61,0.77,4367.51,11.62
247,4,2024-06-16,16681.0,630,118,635673.7,25960672.54,3.78,1009.01,40.84
248,4,2024-06-17,96694.0,621,32,1540477.59,10642723.19,0.64,2480.64,6.91
249,4,2024-06-18,20316.0,180,3,1856589.54,709440.64,0.89,10314.39,0.38
250,4,2024-06-19,31763.0,1402,148,1232999.94,49512272.86,4.41,879.46,40.16
251,4,2024-06-20,48295.0,1830,160,1924287.39,55906790.75,3.79,1051.52,29.05
252,4,2024-06-21,85217.0,3894,224,293729.18,105185091.05,4.57,75.43,358.1
253,4,2024-06-22,6044.0,156,21,1889001.88,9511594.4,2.58,12108.99,5.04
254,4,2024-06-23,58139.0,2605,162,652786.35,57793900.46,4.48,250.59,88.53
255,4,2024-06-24,72312.0,717,115,1268205.14,30493242.02,0.99,1768.77,24.04
256,4,2024-06-25,76538.0,570,27,459112.62,8837518.54,0.74,805.46,19.25
257,4,2024-06-26,43385.0,1857,20,354874.77,8705134.52,4.28,191.1,24.53
258,4,2024-06-27,98416.0,1400,107,1348257.18,20027258.42,1.42,963.04,14.85
259,4,2024-06-28,58870.0,959,20,63562.97,6074523.6,1.63,66.28,95.57
260,4,2024-06-29,80637.0,699,76,1752640.56,19604727.82,0.87,2507.35,11.19
261,4,2024-06-30,65000.0,3141,43,179374.14,15523502.48,4.83,57.11,86.54
262,4,2024-07-01,95125.0,3594,297,390154.93,47376450.55,3.78,108.56,121.43
263,4,2024-07-02,77583.0,1792,148,1846078.88,31610841.7,2.31,1030.18,17.12
264,4,2024-07-03,53965.0,643,73,907394.5,14478173.55,1.19,1411.19,15.96
265,4,2024-07-04,33119.0,1605,274,191882.34,109598711.29,4.85,119.55,571.18
266,5,2023-11-20,30213.0,1029,132,529207.27,17563288.37,3.41,514.29,33.19
267,5,2023-11-21,49535.0,2189,197,1043321.42,41260427.97,4.42,476.62,39.55
268,5,2023-11-22,24466.0,918,19,1721104.57,8430936.68,3.75,1874.84,4.9
269,5,2023-11-23,40415.0,598,28,513438.01,4851378.43,1.48,858.59,9.45
270,5,2023-11-24,52404.0,2209,318,1469123.29,151950295.36,4.22,665.06,103.43
271,5,2023-11-25,38229.0,1053,42,1044849.19,16384691.6,2.75,992.26,15.68
272,5,2023-11-26,89578.0,1346,45,284906.88,15708360.0,1.5,211.67,55.14
273,5,2023-11-27,23380.0,484,6,759171.0,854427.2,2.07,1568.54,1.13
274,5,2023-11-28,12804.0,480,55,62102.48,18845893.66,3.75,129.38,303.46
275,5,2023-11-29,6353.0,202,34,330419.51,10177166.92,3.18,1635.74,30.8
276,5,2023-11-30,22223.0,991,77,949267.04,34506818.81,4.46,957.89,36.35
277,5,2023-12-01,85349.0,3016,258,1820789.61,67475427.21,3.53,603.71,37.06
278,5,2023-12-02,31982.0,607,68,801496.53,17004572.29,1.9,1320.42,21.22
279,5,2023-12-03,26250.0,1127,165,1756447.34,29301557.99,4.29,1558.52,16.68
280,5,2023-12-04,96190.0,3186,384,1966804.64,117147381.9,3.31,617.33,59.56
281,5,2023-12-05,29467.0,363,50,951540.23,18101295.27,1.23,2621.32,19.02
282,5,2023-12-06,46565.0,543,17,1032191.64,6264739.54,1.17,1900.91,6.07
283,5,2023-12-07,51554.0,966,50,382118.8,23200521.7,1.87,395.57,60.72
284,5,2023-12-08,20014.0,518,59,409597.07,27781735.41,2.59,790.73,67.83
285,5,2023-12-09,20607.0,914,146,1158113.65,38176527.11,4.44,1267.08,32.96
286,5,2023-12-10,29071.0,535,53,1842387.4,5621072.18,1.84,3443.71,3.05
287,5,2023-12-11,92480.0,1416,35,1061897.83,9100914.46,1.53,749.93,8.57
288,5,2023-12-12,74934.0,598,68,1532076.56,12910206.87,0.8,2562.0,8.43
289,5,2023-12-13,8779.0,170,6,403823.09,1470967.66,1.94,2375.43,3.64
290,5,2023-12-14,15903.0,750,92,1507726.72,16950087.75,4.72,2010.3,11.24
291,5,2023-12-15,49734.0,2106,290,1830915.05,41938446.8,4.23,869.38,22.91
292,5,2023-12-16,14012.0,625,15,247763.81,2084460.05,4.46,396.42,8.41
293,5,2023-12-17,95451.0,4493,826,1523118.13,345973263.52,4.71,339.0,227.15
294,5,2023-12-18,17428.0,716,85,1799793.33,19170774.13,4.11,2513.68,10.65
295,5,2023-12-19,30321.0,597,46,145038.48,22962418.4,1.97,242.95,158.32
296,5,2023-12-20,10485.0,168,27,399424.78,6096352.6,1.6,2377.53,15.26
297,5,2023-12-21,18958.0,286,39,1037494.1,3981921.6,1.51,3627.6,3.84
298,5,2023-12-22,7405.0,209,11,1215087.85,2830712.5,2.82,5813.82,2.33
299,5,2023-12-23,96574.0,4008,53,1016295.6,19522279.44,4.15,253.57,19.21
300,5,2023-12-24,67602.0,2835,176,1915535.8,73659797.35,4.19,675.67,38.45
301,5,2023-12-25,42357.0,715,139,1251434.2,60335391.41,1.69,1750.26,48.21
302,5,2023-12-26,5071.0,243,25,1391407.75,6928954.57,4.79,5725.96,4.98
303,5,2023-12-27,64680.0,775,41,1756949.89,6108708.05,1.2,2267.03,3.48
304,5,2023-12-28,83863.0,2260,448,1547304.86,71359839.77,2.69,684.65,46.12
305,5,2023-12-29,7711.0,221,18,1576948.81,4312952.08,2.87,7135.51,2.73
306,5,2023-12-30,81050.0,3915,268,805843.94,82917134.28,4.83,205.83,102.89
307,5,2023-12-31,88199.0,4209,416,1852949.13,195655016.57,4.77,440.24,105.59
308,5,2024-01-01,24716.0,710,11,1953274.09,2946262.7,2.87,2751.09,1.51
309,5,2024-01-02,17986.0,874,82,231495.66,38519273.97,4.86,264.87,166.39
310,5,2024-01-03,35926.0,405,37,598449.48,9545197.21,1.13,1477.65,15.95
311,5,2024-01-04,9900.0,175,23,250030.44,11291969.71,1.77,1428.75,45.16
312,5,2024-01-05,82462.0,3658,357,924813.32,123725739.94,4.44,252.82,133.78
